Data,Casos_Acumulados
2020-04-27,2
2020-05-11,3
2020-05-12,4
2020-05-13,5
2020-05-14,8
2020-05-18,11
2020-05-20,12
2020-05-26,13
2020-05-28,14
2020-05-29,15
2020-05-31,16
2020-06-01,17
2020-06-02,19
2020-06-04,20
2020-06-05,21
2020-06-11,23
2020-06-14,24
2020-06-16,26
2020-06-17,28
2020-06-18,30
2020-06-19,31
2020-06-22,33
2020-06-25,34
2020-06-26,38
2020-06-27,41
2020-07-04,43
2020-07-06,44
2020-07-08,45
2020-07-09,46
2020-07-11,48
2020-07-14,49
2020-07-16,50
2020-07-18,51
2020-07-19,52
2020-07-20,56
2020-07-21,57
2020-07-22,63
2020-07-23,68
2020-07-25,69
2020-07-28,70
2020-07-30,71
2020-08-01,73
2020-08-03,74
2020-08-08,75
2020-08-13,76
2020-08-17,77
2020-08-20,78
2020-08-22,79
2020-08-27,83
2020-09-01,84
2020-09-13,85
2020-09-15,86
2020-09-19,87
2020-09-24,89
2020-10-06,91
2020-10-09,92
2020-10-14,93
2020-11-05,95
2020-11-18,96
2020-11-25,97
2020-11-30,98
2020-12-02,99
2020-12-07,100
2020-12-09,101
2020-12-10,102
2020-12-15,103
2020-12-18,104
2020-12-21,105
2020-12-29,109
2021-01-07,110
2021-01-15,112
2021-01-20,113
2021-01-21,114
2021-02-02,115
2021-02-11,116
2021-02-12,117
2021-02-13,118
2021-03-01,119
2021-03-03,120
2021-03-05,121
2021-03-06,122
2021-03-07,123
2021-03-08,124
2021-03-09,125
2021-03-15,126
2021-03-22,127
2021-03-23,128
2021-03-24,129
2021-03-26,130
2021-04-05,131
2021-04-06,132
2021-04-15,133
2021-05-13,134
2021-05-20,136
2021-05-22,137
2021-05-29,138
2021-05-31,139
2021-06-06,140
2021-06-07,141
2021-06-10,142
2021-06-12,143
2021-06-15,145
2021-06-21,146
2021-06-22,150
2021-06-23,151
2021-06-27,152
