Data,Casos_Acumulados
2020-01-02,1
2020-01-22,2
2020-04-14,3
2020-04-20,4
2020-04-28,5
2020-05-04,6
2020-05-08,7
2020-05-09,8
2020-05-10,9
2020-05-11,12
2020-05-12,13
2020-05-13,16
2020-05-14,23
2020-05-15,28
2020-05-17,30
2020-05-18,38
2020-05-19,41
2020-05-20,50
2020-05-21,53
2020-05-22,57
2020-05-23,66
2020-05-25,81
2020-05-26,84
2020-05-27,86
2020-05-28,89
2020-05-29,102
2020-05-30,108
2020-05-31,109
2020-06-01,116
2020-06-02,122
2020-06-03,128
2020-06-04,138
2020-06-05,146
2020-06-06,151
2020-06-07,156
2020-06-08,168
2020-06-09,171
2020-06-10,182
2020-06-11,197
2020-06-12,201
2020-06-13,204
2020-06-14,213
2020-06-15,223
2020-06-16,228
2020-06-17,237
2020-06-18,249
2020-06-19,261
2020-06-20,264
2020-06-21,272
2020-06-22,284
2020-06-23,292
2020-06-24,297
2020-06-25,304
2020-06-26,307
2020-06-27,311
2020-06-28,313
2020-06-29,322
2020-06-30,328
2020-07-01,335
2020-07-02,341
2020-07-03,344
2020-07-04,349
2020-07-05,352
2020-07-06,355
2020-07-07,359
2020-07-08,362
2020-07-09,376
2020-07-10,378
2020-07-11,379
2020-07-12,380
2020-07-13,386
2020-07-14,393
2020-07-15,394
2020-07-16,396
2020-07-17,397
2020-07-18,401
2020-07-20,409
2020-07-21,414
2020-07-22,416
2020-07-23,423
2020-07-24,427
2020-07-25,430
2020-07-27,436
2020-07-28,442
2020-07-29,443
2020-07-30,451
2020-07-31,457
2020-08-01,459
2020-08-03,462
2020-08-04,464
2020-08-05,470
2020-08-06,478
2020-08-08,479
2020-08-09,483
2020-08-10,488
2020-08-11,492
2020-08-12,494
2020-08-13,496
2020-08-15,500
2020-08-16,501
2020-08-18,503
2020-08-19,505
2020-08-20,507
2020-08-21,510
2020-08-22,512
2020-08-24,515
2020-08-25,517
2020-08-26,518
2020-08-27,525
2020-08-28,527
2020-08-29,530
2020-08-30,534
2020-08-31,538
2020-09-01,545
2020-09-02,550
2020-09-04,553
2020-09-05,554
2020-09-06,555
2020-09-07,556
2020-09-08,560
2020-09-10,562
2020-09-11,564
2020-09-12,570
2020-09-16,572
2020-09-17,573
2020-09-18,575
2020-09-20,578
2020-09-21,579
2020-09-24,581
2020-09-26,583
2020-09-27,584
2020-09-29,585
2020-09-30,586
2020-10-03,587
2020-10-05,588
2020-10-07,590
2020-10-08,591
2020-10-16,593
2020-10-17,594
2020-10-19,598
2020-10-20,599
2020-10-21,601
2020-10-26,602
2020-10-27,604
2020-10-31,605
2020-11-03,606
2020-11-04,611
2020-11-05,612
2020-11-06,616
2020-11-08,617
2020-11-09,619
2020-11-10,620
2020-11-11,621
2020-11-12,622
2020-11-17,623
2020-11-21,624
2020-11-22,625
2020-11-23,626
2020-11-24,627
2020-11-25,629
2020-11-26,630
2020-11-27,637
2020-11-28,638
2020-11-30,641
