Data,Casos_Acumulados
2020-04-11,1
2020-04-17,2
2020-05-05,3
2020-05-14,4
2020-05-18,5
2020-05-19,7
2020-05-21,8
2020-05-22,9
2020-05-25,10
2020-05-26,16
2020-05-27,18
2020-05-28,20
2020-06-01,23
2020-06-03,25
2020-06-04,27
2020-06-06,29
2020-06-08,33
2020-06-09,37
2020-06-12,41
2020-06-15,42
2020-06-16,46
2020-06-17,47
2020-06-19,48
2020-06-20,49
2020-06-22,53
2020-06-23,56
2020-06-24,60
2020-06-25,61
2020-06-26,63
2020-06-27,64
2020-06-28,65
2020-06-29,66
2020-06-30,68
2020-07-01,69
2020-07-02,70
2020-07-09,71
2020-07-12,72
2020-07-13,74
2020-07-15,79
2020-07-16,81
2020-07-17,82
2020-07-18,84
2020-07-20,85
2020-07-21,87
2020-07-22,88
2020-07-24,89
2020-07-25,90
2020-07-29,91
2020-07-30,94
2020-07-31,95
2020-08-04,98
2020-08-06,99
2020-08-07,100
2020-08-08,101
2020-08-14,102
2020-08-17,109
2020-08-20,111
2020-08-21,112
2020-08-24,113
2020-08-26,115
2020-08-27,116
2020-08-29,118
2020-08-31,119
2020-09-10,120
2020-09-14,121
2020-09-16,122
2020-09-17,125
2020-09-18,126
2020-09-24,127
2020-09-25,129
2020-10-05,130
2020-10-10,133
2020-10-16,134
2020-10-19,135
2020-10-22,136
2020-10-29,137
2020-10-30,138
2020-11-03,139
2020-11-04,140
2020-11-05,141
2020-11-06,143
2020-11-10,144
2020-11-11,145
2020-11-12,147
2020-11-13,148
2020-11-16,149
2020-11-17,150
2020-11-20,152
2020-11-23,154
2020-11-24,157
2020-11-25,158
2020-11-26,159
2020-11-27,160
2020-11-28,161
2020-12-02,162
2020-12-03,163
2020-12-04,167
2020-12-05,169
2020-12-14,170
2020-12-15,171
2020-12-16,172
2020-12-17,174
2020-12-18,175
2020-12-21,176
2020-12-22,178
2020-12-23,179
2020-12-24,182
2020-12-28,183
2020-12-31,184
2021-01-04,185
2021-01-06,187
2021-01-07,189
2021-01-08,190
2021-01-09,191
2021-01-10,193
2021-01-11,195
2021-01-12,196
2021-01-14,197
2021-01-15,200
2021-01-20,201
2021-01-23,203
2021-02-02,205
2021-02-03,206
2021-02-04,208
2021-02-24,209
2021-03-01,211
2021-03-02,214
2021-03-03,216
2021-03-04,218
2021-03-05,220
2021-03-08,221
2021-03-11,223
2021-03-12,224
2021-03-15,227
2021-03-16,228
2021-03-17,232
2021-03-22,236
2021-03-24,238
2021-03-25,239
2021-03-26,241
2021-03-28,242
2021-03-29,243
2021-03-31,244
2021-04-01,248
2021-04-04,249
2021-04-07,250
2021-04-09,252
2021-04-15,253
2021-04-16,254
2021-04-17,255
2021-04-19,257
2021-04-22,258
2021-05-04,259
2021-05-06,260
2021-05-07,261
2021-05-09,262
2021-05-10,263
2021-05-11,266
2021-05-12,267
2021-05-13,268
2021-05-14,270
2021-05-15,273
2021-05-19,274
2021-05-20,283
2021-05-21,285
2021-05-22,286
2021-05-24,288
2021-05-25,291
2021-05-26,294
2021-05-27,296
2021-05-28,297
2021-05-31,302
2021-06-01,307
2021-06-02,312
2021-06-03,313
2021-06-06,314
2021-06-07,315
2021-06-09,317
2021-06-10,318
2021-06-11,319
2021-06-12,320
2021-06-14,322
2021-06-15,326
2021-06-20,327
2021-06-21,328
2021-06-22,329
2021-06-24,330
2021-06-30,332
