Data,Casos_Acumulados
2020-03-26,1
2020-05-02,2
2020-05-04,4
2020-05-10,6
2020-05-11,8
2020-05-13,12
2020-05-14,14
2020-05-16,16
2020-05-18,19
2020-05-19,21
2020-05-20,22
2020-05-21,26
2020-05-23,29
2020-05-25,34
2020-05-26,37
2020-05-27,39
2020-05-28,45
2020-05-29,49
2020-05-30,50
2020-05-31,52
2020-06-01,55
2020-06-02,58
2020-06-03,65
2020-06-04,66
2020-06-05,71
2020-06-06,74
2020-06-07,78
2020-06-08,83
2020-06-09,93
2020-06-10,96
2020-06-11,97
2020-06-12,102
2020-06-13,106
2020-06-14,108
2020-06-15,116
2020-06-16,119
2020-06-17,122
2020-06-18,124
2020-06-19,125
2020-06-20,128
2020-06-22,130
2020-06-23,131
2020-06-24,135
2020-06-25,139
2020-06-26,143
2020-06-27,144
2020-06-28,146
2020-06-29,152
2020-06-30,153
2020-07-01,154
2020-07-02,160
2020-07-03,163
2020-07-04,164
2020-07-05,166
2020-07-06,170
2020-07-07,172
2020-07-08,177
2020-07-10,179
2020-07-11,182
2020-07-12,185
2020-07-13,189
2020-07-14,190
2020-07-16,193
2020-07-17,194
2020-07-18,197
2020-07-19,198
2020-07-20,199
2020-07-22,200
2020-07-23,203
2020-07-24,205
2020-07-25,207
2020-07-26,209
2020-07-27,212
2020-07-28,213
2020-07-29,214
2020-07-30,216
2020-08-01,218
2020-08-03,221
2020-08-05,222
2020-08-11,223
2020-08-13,224
2020-08-14,225
2020-08-17,226
2020-08-18,227
2020-08-20,231
2020-08-21,232
2020-08-26,236
2020-08-27,238
2020-08-31,241
2020-09-02,242
2020-09-03,243
2020-09-04,244
2020-09-05,245
2020-09-06,247
2020-09-07,249
2020-09-08,251
2020-09-09,252
2020-09-10,256
2020-09-15,258
2020-09-16,261
2020-09-17,266
2020-09-23,267
2020-09-25,269
2020-10-02,271
2020-10-04,272
2020-10-05,273
2020-10-06,274
2020-10-07,279
2020-10-15,280
2020-10-19,281
2020-10-20,282
2020-10-21,283
2020-10-28,284
2020-10-31,285
2020-11-03,286
2020-11-06,288
2020-11-17,289
2020-11-25,290
2020-11-27,291
2020-12-07,293
2020-12-09,294
2020-12-17,295
2020-12-20,296
2020-12-21,297
2020-12-22,298
2020-12-23,299
2020-12-27,300
2020-12-31,301
2021-01-04,302
2021-01-15,303
2021-01-16,304
2021-01-17,305
2021-01-20,306
2021-01-22,307
2021-01-26,309
2021-01-28,310
2021-01-29,311
2021-02-01,314
2021-02-05,315
2021-02-09,316
2021-02-16,317
2021-02-24,318
2021-03-01,319
2021-03-05,320
2021-03-08,321
2021-03-09,322
2021-03-10,324
2021-03-11,326
2021-03-13,327
2021-03-14,328
2021-03-15,331
2021-03-16,332
2021-03-19,333
2021-03-22,334
2021-03-23,336
2021-03-24,338
2021-03-25,339
2021-03-30,340
2021-04-02,341
2021-04-03,342
2021-04-05,344
2021-04-06,345
2021-04-11,346
2021-04-14,347
2021-04-15,348
2021-04-29,349
2021-05-02,350
2021-05-05,351
2021-05-06,353
2021-05-10,354
2021-05-11,355
2021-05-13,358
2021-05-14,360
2021-05-24,361
2021-05-26,363
2021-05-27,364
2021-05-28,369
2021-05-29,371
2021-05-31,374
2021-06-01,375
2021-06-02,377
2021-06-03,378
2021-06-06,379
2021-06-07,381
2021-06-08,382
2021-06-09,383
2021-06-10,385
2021-06-11,387
2021-06-12,389
2021-06-14,390
2021-06-15,394
2021-06-17,396
2021-06-18,399
2021-06-20,402
2021-06-21,406
2021-06-22,407
2021-06-23,408
2021-06-26,411
