Data,Casos_Acumulados
2020-05-02,1
2020-05-11,3
2020-05-12,6
2020-05-13,8
2020-05-14,10
2020-05-15,11
2020-05-16,12
2020-05-17,13
2020-05-18,16
2020-05-19,17
2020-05-20,19
2020-05-21,24
2020-05-22,27
2020-05-23,30
2020-05-25,33
2020-05-26,34
2020-05-27,39
2020-05-28,42
2020-05-29,46
2020-05-30,47
2020-06-01,49
2020-06-02,56
2020-06-03,64
2020-06-04,69
2020-06-05,74
2020-06-06,80
2020-06-08,89
2020-06-09,90
2020-06-10,96
2020-06-11,97
2020-06-12,99
2020-06-13,101
2020-06-14,106
2020-06-15,110
2020-06-16,111
2020-06-17,113
2020-06-18,115
2020-06-19,118
2020-06-20,119
2020-06-22,123
2020-06-23,128
2020-06-24,131
2020-06-25,132
2020-06-26,134
2020-06-27,136
2020-06-28,137
2020-06-29,140
2020-07-01,142
2020-07-02,143
2020-07-03,146
2020-07-04,150
2020-07-06,151
2020-07-10,152
2020-07-11,153
2020-07-13,157
2020-07-15,158
2020-07-16,160
2020-07-18,163
2020-07-21,167
2020-07-22,168
2020-07-23,172
2020-07-24,174
2020-07-25,175
2020-07-26,177
2020-07-27,181
2020-07-28,182
2020-07-29,183
2020-07-31,184
2020-08-01,187
2020-08-02,188
2020-08-03,189
2020-08-04,193
2020-08-05,194
2020-08-06,195
2020-08-10,196
2020-08-11,197
2020-08-12,198
2020-08-13,199
2020-08-14,201
2020-08-17,204
2020-08-18,210
2020-08-19,212
2020-08-20,213
2020-08-22,215
2020-08-24,217
2020-08-27,220
2020-08-28,223
2020-08-30,224
2020-08-31,226
2020-09-01,227
2020-09-11,229
2020-09-14,230
2020-09-18,231
2020-09-22,232
2020-09-23,233
2020-10-01,234
2020-10-03,235
2020-10-14,236
2020-10-19,237
2020-10-22,241
2020-10-23,242
2020-10-24,243
2020-10-25,245
2020-10-26,246
2020-10-27,247
2020-11-06,248
2020-11-10,249
2020-11-25,253
2020-11-28,254
2020-12-01,255
2020-12-20,258
2020-12-21,261
2020-12-29,262
2020-12-30,263
2021-01-04,264
2021-01-07,266
2021-01-08,267
2021-01-10,270
2021-01-11,271
2021-01-12,272
2021-01-15,273
2021-01-20,274
2021-01-27,278
2021-01-28,279
2021-02-01,280
2021-02-04,281
2021-02-08,282
2021-02-09,283
2021-02-11,284
2021-02-12,285
2021-02-15,286
2021-02-18,288
2021-02-21,290
2021-02-23,291
2021-02-25,292
2021-03-02,293
2021-03-05,294
2021-03-06,295
2021-03-08,297
2021-03-09,299
2021-03-10,300
2021-03-11,301
2021-03-12,302
2021-03-14,303
2021-03-17,305
2021-03-18,306
2021-03-19,308
2021-03-20,310
2021-03-21,312
2021-03-22,314
2021-03-23,317
2021-03-24,318
2021-03-25,320
2021-03-30,321
2021-04-01,323
2021-04-04,324
2021-04-08,325
2021-04-12,326
2021-04-13,327
2021-04-14,331
2021-04-16,332
2021-04-26,336
2021-04-29,337
2021-04-30,338
2021-05-03,340
2021-05-04,342
2021-05-05,344
2021-05-06,345
2021-05-07,347
2021-05-09,348
2021-05-11,349
2021-05-12,353
2021-05-15,354
2021-05-17,356
2021-05-19,357
2021-05-20,359
2021-05-26,360
2021-05-27,362
2021-05-29,363
2021-05-30,364
2021-05-31,366
2021-06-01,370
2021-06-02,371
2021-06-04,374
2021-06-05,375
2021-06-06,376
2021-06-07,378
2021-06-08,380
2021-06-09,381
2021-06-10,382
2021-06-11,386
2021-06-12,388
2021-06-14,389
2021-06-15,392
2021-06-17,398
2021-06-19,399
2021-06-20,401
2021-06-21,402
2021-06-22,404
2021-06-23,405
2021-06-24,406
2021-06-25,407
2021-06-26,408
2021-06-27,409
2021-06-28,413
2021-06-30,415
2021-07-01,416
