Data,Casos_Acumulados
2020-05-12,1
2020-05-19,3
2020-05-20,5
2020-05-21,6
2020-05-26,7
2020-05-28,10
2020-05-29,13
2020-05-30,14
2020-06-01,17
2020-06-02,18
2020-06-03,19
2020-06-04,20
2020-06-06,21
2020-06-11,22
2020-06-12,23
2020-06-13,24
2020-06-15,26
2020-06-17,29
2020-06-18,30
2020-06-19,32
2020-06-20,33
2020-06-21,34
2020-06-22,35
2020-06-24,37
2020-06-26,38
2020-06-28,39
2020-06-30,40
2020-07-06,41
2020-07-07,42
2020-07-11,43
2020-07-15,45
2020-07-16,46
2020-07-17,48
2020-07-20,52
2020-07-21,53
2020-07-24,54
2020-08-02,55
2020-08-03,56
2020-08-07,57
2020-08-10,59
2020-08-12,61
2020-08-22,62
2020-08-28,63
2020-09-05,65
2020-09-10,66
2020-09-12,67
2020-09-15,68
2020-09-16,69
2020-09-21,70
2020-09-22,71
2020-10-22,72
2020-10-26,73
2020-10-27,74
2020-11-23,76
2020-11-25,77
2020-11-28,78
2020-11-30,81
2020-12-01,82
2020-12-10,83
2020-12-22,84
2020-12-23,85
2021-01-01,86
2021-01-22,87
2021-01-25,88
2021-02-04,89
2021-02-11,91
2021-02-12,92
2021-02-17,93
2021-02-19,94
2021-02-26,96
2021-03-03,97
2021-03-05,98
2021-03-08,100
2021-03-11,102
2021-03-18,103
2021-03-23,104
2021-03-26,105
2021-04-05,106
2021-04-07,107
2021-04-10,108
2021-04-11,109
2021-04-12,110
2021-04-13,112
2021-04-16,113
2021-04-17,114
2021-04-24,115
2021-04-27,116
2021-05-03,117
2021-05-05,118
2021-05-07,119
2021-05-09,120
2021-05-11,121
2021-05-12,123
2021-05-19,124
2021-05-20,125
2021-05-25,126
2021-05-27,129
2021-05-28,130
2021-06-02,133
2021-06-04,134
2021-06-05,135
2021-06-08,136
2021-06-10,139
2021-06-11,141
2021-06-14,142
2021-06-17,144
2021-06-21,147
2021-06-25,148
2021-06-28,149
