Data,Casos_Acumulados
2020-03-09,1
2020-04-05,2
2020-04-17,3
2020-05-02,5
2020-05-07,6
2020-05-08,7
2020-05-09,8
2020-05-11,11
2020-05-12,12
2020-05-13,14
2020-05-15,15
2020-05-16,17
2020-05-17,20
2020-05-18,24
2020-05-19,26
2020-05-20,30
2020-05-21,32
2020-05-22,34
2020-05-23,36
2020-05-25,44
2020-05-27,48
2020-05-28,51
2020-05-29,55
2020-05-30,56
2020-06-01,58
2020-06-02,62
2020-06-03,65
2020-06-04,66
2020-06-05,68
2020-06-06,71
2020-06-07,72
2020-06-08,76
2020-06-09,78
2020-06-10,81
2020-06-11,84
2020-06-12,88
2020-06-13,90
2020-06-14,91
2020-06-15,98
2020-06-16,100
2020-06-17,106
2020-06-18,108
2020-06-22,111
2020-06-23,113
2020-06-24,114
2020-06-25,115
2020-06-29,119
2020-07-01,121
2020-07-02,123
2020-07-06,125
2020-07-07,126
2020-07-09,129
2020-07-10,134
2020-07-11,135
2020-07-13,139
2020-07-14,143
2020-07-15,144
2020-07-16,146
2020-07-20,147
2020-07-21,150
2020-07-23,153
2020-07-24,154
2020-07-25,155
2020-07-27,156
2020-07-28,157
2020-07-30,159
2020-08-03,161
2020-08-04,164
2020-08-05,165
2020-08-06,167
2020-08-10,172
2020-08-14,173
2020-08-15,174
2020-08-18,176
2020-08-20,178
2020-08-25,179
2020-08-27,181
2020-09-01,182
2020-09-02,183
2020-09-03,184
2020-09-07,185
2020-09-08,186
2020-09-09,187
2020-09-10,188
2020-09-15,190
2020-09-17,191
2020-09-18,192
2020-09-21,196
2020-09-24,198
2020-09-28,200
2020-09-29,201
2020-10-05,202
2020-10-22,204
2020-10-28,205
2020-10-29,206
2020-11-02,207
2020-11-05,209
2020-11-06,210
2020-11-07,211
2020-11-09,212
2020-11-12,213
2020-11-13,215
2020-11-16,216
2020-11-21,218
2020-11-23,221
2020-11-25,222
2020-11-27,224
2020-12-02,226
2020-12-08,227
2020-12-10,230
2020-12-11,231
2020-12-12,232
2020-12-14,234
2020-12-17,238
2020-12-22,241
2020-12-28,242
2020-12-29,243
2020-12-30,245
2021-01-05,246
2021-01-07,247
2021-01-11,248
2021-01-12,249
2021-01-14,250
2021-01-15,252
2021-01-17,254
2021-01-18,255
2021-01-25,256
2021-01-26,257
2021-01-28,258
2021-01-31,259
2021-02-03,261
2021-02-04,262
2021-02-05,263
2021-02-11,264
2021-02-13,267
2021-02-18,268
2021-02-25,269
2021-03-02,272
2021-03-03,273
2021-03-04,274
2021-03-05,276
2021-03-06,277
2021-03-08,278
2021-03-09,280
2021-03-11,281
2021-03-12,282
2021-03-17,283
2021-03-18,284
2021-03-19,285
2021-03-21,286
2021-03-22,289
2021-03-23,290
2021-03-24,291
2021-03-25,292
2021-03-29,294
2021-04-01,295
2021-04-05,296
2021-04-06,299
2021-04-07,300
2021-04-08,301
2021-04-12,302
2021-04-15,304
2021-04-16,306
2021-04-17,307
2021-04-19,308
2021-04-20,310
2021-04-22,312
2021-04-26,314
2021-04-29,315
2021-05-01,316
2021-05-03,317
2021-05-04,318
2021-05-06,322
2021-05-10,325
2021-05-11,326
2021-05-12,327
2021-05-17,329
2021-05-18,331
2021-05-19,333
2021-05-20,335
2021-05-22,336
2021-05-24,337
2021-05-25,338
2021-05-26,341
2021-05-27,345
2021-05-28,348
2021-05-29,351
2021-05-30,353
2021-05-31,355
2021-06-01,358
2021-06-02,361
2021-06-03,363
2021-06-09,364
2021-06-10,365
2021-06-12,366
2021-06-13,369
2021-06-14,371
2021-06-15,373
2021-06-17,375
2021-06-18,376
2021-06-20,378
2021-06-21,380
2021-06-22,381
2021-06-23,383
2021-06-26,384
2021-06-28,385
2021-06-30,386
