Data,Casos_Acumulados
2020-01-02,1
2020-01-22,2
2020-03-09,3
2020-03-26,4
2020-04-05,5
2020-04-11,6
2020-04-14,7
2020-04-17,9
2020-04-20,10
2020-04-27,12
2020-04-28,13
2020-05-02,17
2020-05-04,20
2020-05-05,21
2020-05-07,22
2020-05-08,24
2020-05-09,26
2020-05-10,29
2020-05-11,40
2020-05-12,47
2020-05-13,59
2020-05-14,74
2020-05-15,81
2020-05-16,86
2020-05-17,92
2020-05-18,114
2020-05-19,126
2020-05-20,145
2020-05-21,161
2020-05-22,171
2020-05-23,188
2020-05-25,220
2020-05-26,235
2020-05-27,250
2020-05-28,271
2020-05-29,300
2020-05-30,310
2020-05-31,314
2020-06-01,335
2020-06-02,358
2020-06-03,385
2020-06-04,406
2020-06-05,427
2020-06-06,447
2020-06-07,457
2020-06-08,491
2020-06-09,511
2020-06-10,534
2020-06-11,557
2020-06-12,577
2020-06-13,589
2020-06-14,607
2020-06-15,639
2020-06-16,656
2020-06-17,682
2020-06-18,703
2020-06-19,723
2020-06-20,732
2020-06-21,741
2020-06-22,769
2020-06-23,788
2020-06-24,807
2020-06-25,822
2020-06-26,838
2020-06-27,849
2020-06-28,856
2020-06-29,879
2020-06-30,889
2020-07-01,902
2020-07-02,918
2020-07-03,927
2020-07-04,939
2020-07-05,944
2020-07-06,956
2020-07-07,964
2020-07-08,973
2020-07-09,992
2020-07-10,1002
2020-07-11,1011
2020-07-12,1016
2020-07-13,1036
2020-07-14,1049
2020-07-15,1059
2020-07-16,1072
2020-07-17,1077
2020-07-18,1090
2020-07-19,1092
2020-07-20,1111
2020-07-21,1127
2020-07-22,1138
2020-07-23,1160
2020-07-24,1171
2020-07-25,1180
2020-07-26,1184
2020-07-27,1198
2020-07-28,1208
2020-07-29,1212
2020-07-30,1228
2020-07-31,1236
2020-08-01,1245
2020-08-02,1247
2020-08-03,1258
2020-08-04,1270
2020-08-05,1279
2020-08-06,1291
2020-08-07,1293
2020-08-08,1296
2020-08-09,1300
2020-08-10,1313
2020-08-11,1319
2020-08-12,1324
2020-08-13,1329
2020-08-14,1334
2020-08-15,1339
2020-08-16,1340
2020-08-17,1352
2020-08-18,1363
2020-08-19,1367
2020-08-20,1379
2020-08-21,1384
2020-08-22,1390
2020-08-24,1396
2020-08-25,1399
2020-08-26,1406
2020-08-27,1425
2020-08-28,1431
2020-08-29,1436
2020-08-30,1441
2020-08-31,1451
2020-09-01,1461
2020-09-02,1468
2020-09-03,1470
2020-09-04,1474
2020-09-05,1478
2020-09-06,1481
2020-09-07,1485
2020-09-08,1492
2020-09-09,1494
2020-09-10,1503
2020-09-11,1507
2020-09-12,1514
2020-09-13,1515
2020-09-14,1517
2020-09-15,1523
2020-09-16,1530
2020-09-17,1540
2020-09-18,1545
2020-09-19,1546
2020-09-20,1549
2020-09-21,1555
2020-09-22,1557
2020-09-23,1559
2020-09-24,1566
2020-09-25,1570
2020-09-26,1572
