kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,14**2,675.907001774299715,25.998211511069368,-1227.578020908111966,24.167587303071855,-0.000000301971193,-0.157231783613346,-78.216154652373746
DotProduct(sigma_0=1),DotProduct(sigma_0=12),86.743818216791510,9.313636143676192,-354.017240285375749,8.761880510651311,0.829839630247208,0.851484445036169,-7.656925792023827
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00135, periodicity=9.95e+04)",421.581273436476238,20.532444409676998,-770.098578369210827,17.291322585100030,0.768250100258276,0.278203587599779,-62.555908590065371
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=26.1, nu=1.5)",429.148296255259652,20.715894773223280,-782.683975376562785,17.529528645996972,0.761393434971618,0.265247960138847,-63.599348148417008
RBF(length_scale=1),RBF(length_scale=21.3),421.581287911735217,20.532444762174212,-770.098573218885804,17.291322747758656,0.768250106099410,0.278203562816444,-62.555911270290160
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=21.3)",421.581350852437822,20.532446294887460,-770.098658384238433,17.291325605771934,0.768250089496062,0.278203455054605,-62.555921408470446
WhiteKernel(noise_level=1),WhiteKernel(noise_level=450),1139.250487379999868,33.752784883324814,-358.773940408375097,24.167587303071855,-0.739915650721836,-0.950529984202422,-130.556530807130883
1**2 * 1**2,0.537**2 * 26.1**2,675.907001075136122,25.998211497622989,-1227.578020908112194,24.167587303071855,-0.000000301968727,-0.157231782416296,-78.216154533188501
1**2 + 1**2,0.193**2 + 14**2,675.907001783190253,25.998211511240349,-1227.578020908104236,24.167587303071855,-0.000000301971224,-0.157231783628568,-78.216154653889291
1**2 * DotProduct(sigma_0=1),0.641**2 * DotProduct(sigma_0=18.7),86.813321634044726,9.317366668433991,-353.866740496605985,8.765069094574033,0.829838713498754,0.851365447062625,-7.668749680611562
1**2 + DotProduct(sigma_0=1),11.8**2 + DotProduct(sigma_0=2.03),86.743818197342719,9.313636142632088,-354.017240285331127,8.761880509447179,0.829839630247699,0.851484445069467,-7.656925788723669
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","36.4**2 * ExpSineSquared(length_scale=0.563, periodicity=470)",1.058769044544035,1.028965035627565,-182.301839366291716,1.017343795654953,0.998948409959859,0.998187263652195,0.857331182840169
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","15.8**2 + ExpSineSquared(length_scale=0.00108, periodicity=1e+05)",285.476556076710381,16.896051493668878,-552.288115750125144,15.408010080236050,0.852217241109246,0.511230770947447,-42.367469715841423
"1**2 * Matern(length_scale=1, nu=1.5)","62.9**2 * Matern(length_scale=166, nu=1.5)",0.313795010761620,0.560174089691428,-184.311440819358523,0.552329439637235,0.999238367324508,0.999462746266810,0.973955720723985
"1**2 + Matern(length_scale=1, nu=1.5)","15.7**2 + Matern(length_scale=19, nu=1.5)",301.764204818685300,17.371361628228378,-570.766024521604891,15.834010651967443,0.843103203722912,0.483344412683567,-44.817139513962459
1**2 * RBF(length_scale=1),35.2**2 * RBF(length_scale=39.4),1.158685827343191,1.076422699195437,-182.307773589693397,1.063271885565262,0.998922121245683,0.998016194442277,0.841234597744877
1**2 + RBF(length_scale=1),15.8**2 + RBF(length_scale=17.2),285.476484448278313,16.896049373989126,-552.288107411979126,15.408008747588143,0.852217254839517,0.511230893583694,-42.367457991882048
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","36.2**2 * RationalQuadratic(alpha=12.4, length_scale=41.6)",1.072810081979255,1.035765457031299,-182.303576758165946,1.023786504917524,0.998947686921591,0.998163223755061,0.854961939023843
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","15.8**2 + RationalQuadratic(alpha=1e+05, length_scale=17.2)",285.476732815445530,16.896056723846709,-552.288320368843870,15.408015278485264,0.852217190437566,0.511230468350076,-42.367498037915546
1**2 * WhiteKernel(noise_level=1),4.61**2 * WhiteKernel(noise_level=21.2),1139.250487379999868,33.752784883324814,-358.773940408375154,24.167587303071855,-0.739915650721836,-0.950529984202422,-130.556530807130883
1**2 + WhiteKernel(noise_level=1),13.9**2 + WhiteKernel(noise_level=258),680.375318638979024,26.084005034483855,-339.157740662296646,24.167587303071855,-0.000216552599215,-0.164882064319847,-78.970625072963088
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1.54) * DotProduct(sigma_0=1.54),34.837166295995736,5.902301779475168,-187.391770772180450,5.465851978434374,0.993442054635775,0.940354699710284,-4.706385996305755
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=12) + DotProduct(sigma_0=8.67e-05),86.719650327769855,9.312338606803870,-354.261163109036829,8.760771599915961,0.829839905039283,0.851525823286794,-7.652812774804408
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=4.39, periodicity=0.993)",0.811815057929932,0.901007801259197,-178.307686933100513,0.855920736787200,0.998648289065986,0.998610077740005,0.910291971108894
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=10.9) + ExpSineSquared(length_scale=0.000761, periodicity=1e+05)",36.689437216929015,6.057180632681265,-250.893690011663637,5.573483337026232,0.968154680954242,0.937183395409633,-4.109739475823350
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * Matern(length_scale=187, nu=1.5)",4.838400740106554,2.199636501812641,-179.077388472514400,2.029946767581187,0.999020915000726,0.991716092445245,0.209926039489288
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=11) + Matern(length_scale=12.7, nu=1.5)",39.185390534144425,6.259823522603846,-255.943186298507044,5.759884905724681,0.964628681175626,0.932910031616220,-4.408282695475308
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=2.56e-05) * RBF(length_scale=55.9),3.613609543962444,1.900949642668749,-179.120037213849457,1.727618719952097,0.998410613626826,0.993813078120415,0.440896106752111
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=10.9) + RBF(length_scale=12.1),36.689443580061038,6.057181157936506,-250.893688639820510,5.573483795829113,0.968154682220878,0.937183384515207,-4.109740607059043
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=0.184, length_scale=104)",1.307839186499050,1.143607968885776,-178.550516783739454,1.049109295555563,0.998899938249646,0.997760826459115,0.816590293504392
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=10.9) + RationalQuadratic(alpha=1e+05, length_scale=12.1)",36.689502035989932,6.057185983275562,-250.893759710892937,5.573488157328443,0.968154638408708,0.937183284431825,-4.109748998174963
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=0.113),1139.250487379999868,33.752784883324814,-306.202340695243151,24.167587303071855,-0.739915650721836,-0.950529984202422,-130.556530807130883
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=11.9) + WhiteKernel(noise_level=36.2),87.610496850954036,9.360047908582201,-272.669758141070133,8.812523222628503,0.829794856417603,0.850000589921488,-7.803161408106627
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00134, periodicity=1e+05) * ExpSineSquared(length_scale=7.41e+04, periodicity=2.01e+03)",421.581291735068078,20.532444855278879,-770.098578314102383,17.291322919804770,0.768250105121370,0.278203556270451,-62.555911887235787
