kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,186**2,194723.003794164891588,441.274295415181541,-180825.790795672684908,405.461691188849443,-0.000000000009993,-0.184452381180242,-21.740007219940818
DotProduct(sigma_0=1),DotProduct(sigma_0=150),52045.629168846004177,228.135111652822985,-33674.198931746635935,209.162528352321516,0.814764843421616,0.683419173914208,-5.503004358030217
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00139, periodicity=1e+05)",144611.730830814078217,380.278491149334002,-108713.927900784648955,328.026742437218843,0.735072106133426,0.120362229466148,-18.362878550772940
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=26.9, nu=1.5)",146974.290302208915818,383.372260736492137,-110354.916829220615909,331.604355770087921,0.731749056187589,0.105991358346414,-18.684422249055242
RBF(length_scale=1),RBF(length_scale=22.1),144611.728224771068199,380.278487722841191,-108713.927457516285358,328.026738410960547,0.735072102302979,0.120362245318070,-18.362878157257185
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=22.1)",144611.700970332138240,380.278451887997619,-108713.934359572915128,328.026732309970839,0.735072078052582,0.120362411100153,-18.362874123704085
WhiteKernel(noise_level=1),WhiteKernel(noise_level=7.98e+04),294103.308727990020998,542.312925097669108,-564.987327552715328,405.461691188849443,-0.766084392766168,-0.788958456619157,-32.020988865678490
1**2 * 1**2,19.3**2 * 9.64**2,194723.003791042981902,441.274295411644118,-180825.790795610693749,405.461691188849443,-0.000000000009992,-0.184452381161252,-21.740007219493183
1**2 + 1**2,186**2 + 0.0187**2,194723.003821289166808,441.274295445915527,-180825.790795770037221,405.461691188849443,-0.000000000009995,-0.184452381345232,-21.740007223830066
1**2 * DotProduct(sigma_0=1),78.1**2 * DotProduct(sigma_0=3.9e+04),51994.460622518810851,228.022938807741042,-33631.943691986809426,209.131740596228667,0.814933018409253,0.683730419660000,-5.496538732728780
1**2 + DotProduct(sigma_0=1),150**2 + DotProduct(sigma_0=0.0145),52045.629192994667392,228.135111705749210,-33674.198931755337981,209.162528415102742,0.814764843421266,0.683419173767318,-5.503004361491000
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","316**2 * ExpSineSquared(length_scale=0.539, periodicity=336)",5942.879125378721255,77.090071509752292,-252.049559829730242,72.940299296082301,0.999729236323986,0.963850920569395,0.149273751246689
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","212**2 + ExpSineSquared(length_scale=0.00107, periodicity=1e+05)",111871.625015542202163,334.472158804798312,-69192.398909656112664,304.613374740177221,0.828691661367195,0.319512281269909,-14.153397999790256
"1**2 * Matern(length_scale=1, nu=1.5)","316**2 * Matern(length_scale=69.1, nu=1.5)",10346.232177810468784,101.716430225458012,-249.464581425795444,95.074651695945818,0.999917900499077,0.937066401501257,-0.483085289890747
