kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,5.34**2,27.889346334588090,5.281036482982113,-492.051254680920692,5.043044105277585,-0.000006965632708,-0.096611516897366,-485.203101373642312
DotProduct(sigma_0=1),DotProduct(sigma_0=2.2),1.130913911690942,1.063444362292143,-344.346552403063754,1.008015244870337,0.966865411352227,0.955532366900916,-23.376702974312149
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00349, periodicity=1e+05)",8.399188121622860,2.898135283526782,-388.462274355529473,2.401174363212572,0.932666187831101,0.669743194542490,-292.398876829998414
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=67, nu=1.5)",8.814387976274865,2.968903497299106,-391.090273976655681,2.475897349499305,0.927718967692761,0.653417500244634,-305.885137000464226
RBF(length_scale=1),RBF(length_scale=55.5),8.399195016358174,2.898136473038869,-388.462263398834239,2.401175170945286,0.932666223685773,0.669742923440899,-292.399174953897671
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=55.5)",8.399198050217024,2.898136996454278,-388.462290385146616,2.401175949506048,0.932666173264388,0.669742804149306,-292.399264527053731
WhiteKernel(noise_level=1),WhiteKernel(noise_level=38.2),73.002075344999994,8.544125194834168,-537.035509743830517,5.043044105277585,-1.451390515356423,-1.870447934502249,-1376.124511443636493
1**2 * 1**2,0.202**2 * 26.5**2,27.889346278274644,5.281036477650447,-492.051254680920124,5.043044105277585,-0.000006965611322,-0.096611514683116,-485.203099136195988
1**2 + 1**2,0.0134**2 + 5.34**2,27.889346336692853,5.281036483181389,-492.051254680919556,5.043044105277585,-0.000006965633507,-0.096611516980125,-485.203101457268644
1**2 * DotProduct(sigma_0=1),0.0932**2 * DotProduct(sigma_0=23.3),1.111113263251206,1.054093574238647,-342.470663484502495,1.000210967221420,0.966779740965935,0.956310930115004,-22.531408927151269
1**2 + DotProduct(sigma_0=1),1.16**2 + DotProduct(sigma_0=1.87),1.130913866723589,1.063444341149827,-344.346552403056819,1.008015220390570,0.966865411051734,0.955532368669037,-23.376700988060300
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","7.36**2 * ExpSineSquared(length_scale=0.0055, periodicity=1e+05)",0.644386841708901,0.802737093766633,-341.227533583535319,0.735784473226843,0.996704970548764,0.974662653492214,-22.685510295060372
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","5.49**2 + ExpSineSquared(length_scale=0.00477, periodicity=5.65e+04)",4.428893253868845,2.104493586084036,-364.879934614266176,1.920096248591812,0.963331575191045,0.825855533111642,-152.978086837032407
"1**2 * Matern(length_scale=1, nu=1.5)","9.57**2 * Matern(length_scale=226, nu=1.5)",0.089626764807688,0.299377295077112,-341.957863459483860,0.280563765467281,0.997856203041913,0.996475867833859,-1.234962919352480
"1**2 + Matern(length_scale=1, nu=1.5)","5.46**2 + Matern(length_scale=46.1, nu=1.5)",4.932473362655339,2.220917234535168,-367.807693516843415,2.026695158665059,0.957820225095653,0.806054719555434,-169.642384891298320
1**2 * RBF(length_scale=1),7.36**2 * RBF(length_scale=87.6),0.644377470455699,0.802731256682894,-341.227530399428929,0.735779545755721,0.996704948609666,0.974663021970703,-22.685121929610467
1**2 + RBF(length_scale=1),5.49**2 + RBF(length_scale=42.9),4.428802441061316,2.104472010044637,-364.879903182123485,1.920077540187714,0.963331723648080,0.825859103879111,-152.974550297262056
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","7.36**2 * RationalQuadratic(alpha=1e+05, length_scale=87.6)",0.644378507978990,0.802731902928362,-341.227533554136699,0.735779973155796,0.996704988041649,0.974662981175197,-22.685188185105474
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","5.49**2 + RationalQuadratic(alpha=1e+05, length_scale=42.9)",4.428809905173856,2.104473783437051,-364.879944588875674,1.920079171318085,0.963331648735219,0.825858810389558,-152.974801556697315
1**2 * WhiteKernel(noise_level=1),18.7**2 * WhiteKernel(noise_level=0.11),73.002075344999994,8.544125194834168,-537.035509743830403,5.043044105277585,-1.451390515356423,-1.870447934502249,-1376.124511443636493
1**2 + WhiteKernel(noise_level=1),5.33**2 + WhiteKernel(noise_level=9.78),27.925354560820743,5.284444583948321,-468.525358254916910,5.043044105277585,-0.000027253490185,-0.098027363476058,-486.629623807518328
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=0.0264) * DotProduct(sigma_0=0.000284),5.193584017308795,2.278943618720918,-349.512396725517817,2.055908732990140,0.960988180638884,0.795787825966663,-182.070379885157877
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=2.2) + DotProduct(sigma_0=5.23e-05),1.131002770305517,1.063486140156757,-344.690940447140576,1.008050247616654,0.966865738788878,0.955528872972484,-23.380460526335078
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=26.5, periodicity=331)",1.466122937898202,1.210835636202619,-341.682780813528666,1.129934695112673,0.995929751156750,0.942351918915624,-55.043621466167259
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=0.826) + ExpSineSquared(length_scale=0.0153, periodicity=1.43e+04)",0.246755385006748,0.496744788605526,-342.284263348650825,0.462906767414960,0.994004738358131,0.990297556858862,-5.094669232042676
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=3.46e-05) * Matern(length_scale=1.34e+03, nu=1.5)",0.190250894642590,0.436177595301032,-342.512652055376634,0.401373876319002,0.996820006081345,0.992519318320977,-4.605679731783128
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.974) + Matern(length_scale=45.6, nu=1.5)",0.350191451367784,0.591769762126948,-342.644130805347913,0.548793464403655,0.992732385328274,0.986230441757875,-8.429345367118376
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=347),0.620554136676385,0.787752585953474,-342.843703843571120,0.736752909205841,0.996456361366816,0.975599757521256,-21.576636988314206
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=0.826) + RBF(length_scale=34.7),0.246742468904422,0.496731787692737,-342.284228618066891,0.462895175861975,0.994004781664452,0.990298064721126,-5.094180186432781
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=0.00378, length_scale=1.38e+03)",0.059731811834302,0.244400924372847,-341.833973013796026,0.243629329023379,0.996971178174327,0.997651339977753,0.516241491478222
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=0.826) + RationalQuadratic(alpha=1e+05, length_scale=34.7)",0.246743337054260,0.496732661553738,-342.284233082505693,0.462895899644331,0.994004773318026,0.990298030585399,-5.094209640856113
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.24e-05) * WhiteKernel(noise_level=0.00384),73.002075344999994,8.544125194834168,-485.122938900235113,5.043044105277585,-1.451390515356423,-1.870447934502249,-1376.124511443636493
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=2.2) + WhiteKernel(noise_level=1e-05),1.130913821819537,1.063444320037273,-344.346626217306550,1.008015195972465,0.966865410752053,0.955532370434668,-23.376699004849506
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=3.39e+04, periodicity=9.51e+04) * ExpSineSquared(length_scale=0.00349, periodicity=1e+05)",8.399142011139503,2.898127328317288,-388.462274356539979,2.401167986468577,0.932666100542376,0.669745007610695,-292.396978895972552
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00281, periodicity=1e+05) + ExpSineSquared(length_scale=4.05e+03, periodicity=0.115)",6.119103336249728,2.473682141312769,-372.769715721337491,2.166858316245118,0.958147684976558,0.759396326069696,-217.278651783860028
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=0.00349, periodicity=1e+05) * Matern(length_scale=7.3e+03, nu=1.5)",8.398672192292620,2.898046271592747,-388.462281413487403,2.401103075006476,0.932665196350996,0.669763480928505,-292.377631574222676
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=0.007, periodicity=4.73e+04) + Matern(length_scale=74.5, nu=1.5)",5.793800512385162,2.407031473077401,-366.035255846767882,2.066652053923015,0.973864721042642,0.772187261319645,-214.155001990249048
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=531, periodicity=1e-05) * RBF(length_scale=55.5)",8.399195012141776,2.898136472311436,-388.462263398834239,2.401175170362189,0.932666223677791,0.669742923606688,-292.399174780348346
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=0.00467, periodicity=7.51e+04) + RBF(length_scale=55.8)",5.661158320170350,2.379318877361828,-365.246624905250599,2.037589197081745,0.974265075998789,0.777402763822437,-209.104842337737068
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=0.00378, periodicity=9.24e+04) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",8.399567902210473,2.898200804328519,-388.462276297228641,2.401226908870342,0.932666902613013,0.669728261536844,-292.414506205405189
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=3.99e+04, periodicity=1.34) + RationalQuadratic(alpha=1e+05, length_scale=44.7)",6.119014608327888,2.473664206865574,-372.769745187578792,2.166842620076867,0.958147642469155,0.759399814859279,-217.275078547850939
