kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000097298990811,0.009864025081651,-16.561880237429364,0.004648655719668,-3.197667468294563,-3.502498417928620,-840.993272067280714
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000000672215914,0.000819887744789,-18.093545634151205,0.000811656282037,0.951703819915972,0.968893294120547,0.257577080999569
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000051616049383,0.007184431040988,-16.855760225620180,0.004648655719668,-0.986950194808243,-1.388526116738364,-508.753086419753799
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=2.1e+03, nu=1.5)",0.000051616038760,0.007184430301687,-16.855760859791822,0.004648647512517,-0.986948079378180,-1.388525625164320,-508.753430319558504
RBF(length_scale=1),RBF(length_scale=1e+05),0.000051616049381,0.007184431040879,-16.855760225713514,0.004648655718459,-0.986950194496442,-1.388526116665393,-508.753086470219273
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=7.68e-05, length_scale=1.81e+04)",0.000051616049335,0.007184431037656,-16.855760228459054,0.004648655682901,-0.986950185326576,-1.388526114522339,-508.753087955666388
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000097300000000,0.009864076236526,-16.561880237583964,0.004648655719668,-3.197718631178707,-3.502545118000925,-841.000000000001364
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000097299999990,0.009864076236015,-16.561876237653564,0.004648655719668,-3.197718630667072,-3.502545117533920,-840.999999932721266
1**2 + 1**2,0.00359**2 + 0.00316**2,0.000097297691459,0.009863959218229,-16.561885387366921,0.004648655719668,-3.197601595051989,-3.502438290554369,-840.984609678926290
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000097259264604,0.009862011184543,-16.561978221634320,0.004647711104573,-3.196022481016775,-3.500660092737190,-840.631379573602999
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000000672216050,0.000819887827496,-18.093546606112710,0.000811656384938,0.951703797511695,0.968893287844676,0.257580260893301
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=43.8, periodicity=6.44)",0.000097298991343,0.009864025108615,-16.561880237429463,0.004648655719822,-3.197667492685036,-3.502498442544069,-840.993276291383268
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=0.999, periodicity=1)",0.000051615853266,0.007184417392240,-16.855762447786184,0.004648655719660,-0.986941421973996,-1.388517041458937,-508.751471339392367
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=5.51e+03, nu=1.5)",0.000097298990812,0.009864025081679,-16.561880237429364,0.004648655719663,-3.197667468313917,-3.502498417954364,-840.993272073317485
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=4.2e+04, nu=1.5)",0.000051615853239,0.007184417390379,-16.855762449369394,0.004648655699153,-0.986941416685240,-1.388517040221511,-508.751472195519682
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1.09e+03),0.000097298990816,0.009864025081890,-16.561880237429364,0.004648655719624,-3.197667468458664,-3.502498418146951,-840.993272118484924
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=2.48e+04),0.000051615853240,0.007184417390457,-16.855762449302460,0.004648655700019,-0.986941416908468,-1.388517040273326,-508.751472159205434
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=0.00029, length_scale=21.6)",0.000097298991648,0.009864025124067,-16.561880237429509,0.004648655715558,-3.197667504627017,-3.502498456651191,-840.993279247740588
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=6.67, length_scale=1.29e+03)",0.000051615843775,0.007184416731746,-16.855763009504841,0.004648648443683,-0.986939545430771,-1.388516602285712,-508.751775059592717
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.000097300000000,0.009864076236526,-16.561876237653564,0.004648655719668,-3.197718631178707,-3.502545118000925,-841.000000000001364
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.000097298990812,0.009864025081702,-16.561884237395766,0.004648655719668,-3.197667468345726,-3.502498417975319,-840.993272074008473
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.000014960746290,0.003867912394343,-19.950787196604409,0.003802563782468,0.794685500141566,0.307693369259167,-244.217212343420385
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=6.67e-05),0.000000657844372,0.000811076057897,-18.428297719749636,0.000806125816189,0.958404272660699,0.969558335414425,-1.217211143649545
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=4.76e+03, periodicity=3.49e+04)",0.000000672215914,0.000819887744789,-18.093545634151241,0.000811656282037,0.951703819915975,0.968893294120548,0.257577080999545
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=1e+05, periodicity=2.67e+04)",0.000000689079425,0.000830108080468,-18.182364474129109,0.000823499338486,0.949536981281287,0.968112937285609,0.490185417861932
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=5.49e-05) * Matern(length_scale=5.42e+03, nu=1.5)",0.000000672213760,0.000819886431042,-18.093548253588985,0.000811654840661,0.951703989728053,0.968893393808121,0.257575505391744
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000000689079425,0.000830108080329,-18.182364474444583,0.000823499338330,0.949536981302064,0.968112937296265,0.490185417002672
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.000000672215912,0.000819887743502,-18.093545636718307,0.000811656280624,0.951703820082403,0.968893294218210,0.257577079438344
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=9.64e+03),0.000000689079417,0.000830108075492,-18.182364485448463,0.000823499332903,0.949536982026776,0.968112937667913,0.490185387029728
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=6.75e-05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000672215912,0.000819887743539,-18.093545637151340,0.000811656280670,0.951703820072415,0.968893294215415,0.257577080857254
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=84.7, length_scale=1e+05)",0.000000689079425,0.000830108080422,-18.182364474234269,0.000823499338434,0.949536981288213,0.968112937289161,0.490185417575490
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=3.06e-05) * WhiteKernel(noise_level=1e-05),0.000097300000000,0.009864076236526,-16.561978234200105,0.004648655719668,-3.197718631178707,-3.502545118000925,-841.000000000001364
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05),0.000000672216047,0.000819887825845,-18.093549157513621,0.000811656306642,0.951703802603622,0.968893287969973,0.257578975869823
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)",0.000051616049383,0.007184431040988,-16.855760225620180,0.004648655719668,-0.986950194808243,-1.388526116738364,-508.753086419753799
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)",0.000039574556213,0.006290831122596,-17.039619021665743,0.004648655719668,-0.473035300470223,-0.831307552661627,-403.082840236686991
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=85, periodicity=0.000901) * Matern(length_scale=4.65e+04, nu=1.5)",0.000051616049361,0.007184431039466,-16.855760226915713,0.004648655702887,-0.986950190480525,-1.388526115725863,-508.753087120340865
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1.91e+03, periodicity=0.000791) + Matern(length_scale=1.21e+04, nu=1.5)",0.000039574555754,0.006290831086146,-17.039619114706262,0.004648655421087,-0.473035248762580,-0.831307531439984,-403.082844663803087
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1e+05)",0.000051616049381,0.007184431040879,-16.855760225713514,0.004648655718459,-0.986950194496442,-1.388526116665393,-508.753086470219387
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=126, periodicity=1e+05) + RBF(length_scale=1e+05)",0.000039574556201,0.006290831121630,-17.039619021795296,0.004648655718192,-0.473035299834463,-0.831307552099667,-403.082840161012825
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1.53, length_scale=5.8e+03)",0.000051616048914,0.007184431008372,-16.855760253359406,0.004648655360357,-0.986950102139454,-1.388526095051096,-508.753101418407823
