kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.281**2,0.097809467126368,0.312745051321948,-332.478748990764359,0.217311651263801,-0.662532648154618,-1.071165813986154,-505.915082835255475
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.006909701749770,0.083124615787202,-337.170982315620222,0.078983722640003,0.948566677317795,0.853683508668194,-61.172559668684549
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.053755418000000,0.231852146852256,-333.053714089299376,0.217311651263801,-0.011732417717237,-0.138298646840509,-238.456691405315183
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.053754254639370,0.231849637997064,-333.053715622703180,0.217309270352575,-0.011712719657910,-0.138274012080319,-238.450631589407749
RBF(length_scale=1),RBF(length_scale=1e+05),0.053755029546675,0.231851309132977,-333.053714600665899,0.217310856303462,-0.011725842382350,-0.138290421141399,-238.454667208866937
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.053755049477100,0.231851352114021,-333.053714600555281,0.217310895125048,-0.011726076722579,-0.138290843178402,-238.454812203816658
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.236201485000000,0.486005642971355,-332.701770237513756,0.217311651263801,-3.390668720281441,-4.001688029980882,-1073.091333492939157
1**2 * 1**2,1.75**2 * 0.16**2,0.097809475855627,0.312745065277819,-332.478748990764359,0.217311651263801,-0.662532802859086,-1.071165998832714,-505.915125549486902
1**2 + 1**2,0.199**2 + 0.199**2,0.097809475343561,0.312745064459154,-332.478748990764359,0.217311651263801,-0.662532793783975,-1.071165987989439,-505.915123043829624
1**2 * DotProduct(sigma_0=1),0.00371**2 * DotProduct(sigma_0=7.53e-05),0.022303519936497,0.149343630384751,-332.285644400860861,0.067552589650817,0.430865864783479,0.527711484570820,-38.709248689944715
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.006909638419790,0.083124234852361,-337.171002064927848,0.078983299218374,0.948567059781876,0.853684849713110,-61.171954317371821
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.281**2 * ExpSineSquared(length_scale=875, periodicity=1e+05)",0.097808275576367,0.312743146329966,-332.478748990830695,0.217311651261262,-0.662511530924371,-1.071140582301521,-505.909252297632008
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=1, periodicity=1)",0.053755384348239,0.231852074280647,-333.053718168945466,0.217311651254473,-0.011732196797685,-0.138297934247142,-238.456376802418447
