kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.035758170736970,0.189098309714735,-312.778500330797669,0.091580122441456,-3.474966807718217,-3.263564662679896,-141.737764801868622
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000046317705130,0.006805711214116,-318.435515662480498,0.006476057029627,0.991166231528325,0.994477387215887,0.918484170674152
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.009999118549447,0.099995592650111,-314.041447794553733,0.091580122441456,-0.013410039454214,-0.192227891604432,-47.011854022693996
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.009998967243955,0.099994836086446,-314.041451498156448,0.091579397536911,-0.013392915366220,-0.192209850951495,-47.011188409871139
RBF(length_scale=1),RBF(length_scale=1e+05),0.009999068030075,0.099995340041797,-314.041449030348190,0.091579880412197,-0.013404323598526,-0.192221868013004,-47.011631723315389
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009999070476017,0.099995352272079,-314.041449004536503,0.091579891712559,-0.013404514431476,-0.192222159650824,-47.011645409875868
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.035764845744681,0.189115958461154,-312.778520511366310,0.091580122441456,-3.476016326926865,-3.264360545870040,-141.757120557213540
1**2 * 1**2,0.00316**2 * 0.00316**2,0.035764845677917,0.189115958284637,-312.778445185507508,0.091580122441456,-3.476016316429295,-3.264360537909522,-141.757120363620118
1**2 + 1**2,0.00316**2 + 0.00316**2,0.035751498557949,0.189080666801102,-312.778555471385744,0.091580122441456,-3.473917763762358,-3.262769116763870,-141.718416211122474
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=2.71e-05),0.007764680807992,0.088117426244713,-313.070299692021536,0.041452390560259,0.032874278960068,0.074191491688414,-30.150816945097635
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000046316735930,0.006805640008814,-318.435534345115400,0.006475989175655,0.991166521574469,0.994477502776846,0.918482296029381
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=8.15e+04, periodicity=0.000131)",0.035758170736971,0.189098309714738,-312.778500330797669,0.091580122441456,-3.474966807718373,-3.263564662680014,-141.737764801871521
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=1, periodicity=1)",0.009999112299207,0.099995561397527,-314.041452405459779,0.091580122441456,-0.013409787915398,-0.192227146367663,-47.011811013050121
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.035758170740992,0.189098309725369,-312.778500330805855,0.091580122439980,-3.474966808134552,-3.263564663159444,-141.737764820883910
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.009998960993659,0.099994804833347,-314.041456109064995,0.091579397536553,-0.013392663827331,-0.192209105708097,-47.011145399771024
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.035758170738312,0.189098309718284,-312.778500330800398,0.091580122440963,-3.474966807857121,-3.263564662839920,-141.737764808214848
1**2 + RBF(length_scale=1),0.00343**2 + RBF(length_scale=1e+05),0.009999060666207,0.099995303220739,-314.041454462785623,0.091579880412056,-0.013404027243222,-0.192220989994838,-47.011581050459796
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.035758170738279,0.189098309718198,-312.778500330800341,0.091580122440974,-3.474966807854786,-3.263564662836053,-141.737764808026753
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009999064225759,0.099995321019332,-314.041453615443402,0.091579891712446,-0.013404262892635,-0.192221414411940,-47.011602400086460
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.035764845744681,0.189115958461154,-312.778445185709302,0.091580122441456,-3.476016326926865,-3.264360545870040,-141.757120557213540
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.035758170743643,0.189098309732381,-312.778575657173178,0.091580122441456,-3.474966808767496,-3.263564663475607,-141.737764821220736
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.004222214468136,0.064978569298927,-323.214259703030052,0.064931057953457,0.640697786076189,0.496571439937035,-21.608813520604389
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.000046316730023,0.006805639574850,-318.782086348895859,0.006476209410756,0.991166231780598,0.994477503481134,0.918492207672080
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1e+05, periodicity=1e+05)",0.000046317705129,0.006805711214070,-318.435515662498290,0.006476057029548,0.991166231528706,0.994477387215962,0.918484170666398
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=3.69e+04, periodicity=1.17e+03)",0.000040540688636,0.006367157029332,-319.213175100062472,0.006153193080652,0.994872396882410,0.995166199950737,0.840013767286337
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * Matern(length_scale=1e+05, nu=1.5)",0.000045893112316,0.006774445535656,-318.450242546016341,0.006421921789008,0.991446267700667,0.994528012817872,0.912456664573455
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000040540710642,0.006367158757438,-319.213175559317506,0.006153194541894,0.994872399346528,0.995166197326860,0.840013501849084
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.000046155562905,0.006793788553183,-318.440476770708983,0.006456382755515,0.991262438860636,0.994496719968230,0.916547661236077
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=1e+05),0.000040540695992,0.006367157606970,-319.213175252919598,0.006153193569285,0.994872397701870,0.995166199073679,0.840013678704069
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000046146204778,0.006793099791586,-318.440414094987545,0.006456176451722,0.991260669756818,0.994497835768574,0.916685084949987
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000040540695628,0.006367157578373,-319.213175262485947,0.006153193537917,0.994872397777686,0.995166199117099,0.840013679128309
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05),0.035764845744681,0.189115958461154,-313.351745936436032,0.091580122441456,-3.476016326926865,-3.264360545870040,-141.757120557213540
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05),0.000046317705132,0.006805711214261,-318.435590662100708,0.006476057029330,0.991166231528323,0.994477387215653,0.918484170658001
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)",0.009999118549447,0.099995592650111,-314.041447794553733,0.091580122441456,-0.013410039454214,-0.192227891604432,-47.011854022693996
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)",0.009692717967078,0.098451602155973,-314.368195698709883,0.091580122441456,-0.003570858324013,-0.155694739357294,-44.818619603370735
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1e+05, nu=1.5)",0.009998967243955,0.099994836086446,-314.041451498156448,0.091579397536911,-0.013392915366220,-0.192209850951495,-47.011188409871139
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1e+05, nu=1.5)",0.009692564000972,0.098450820214824,-314.368199528850255,0.091579379029666,-0.003553738452796,-0.155676381470506,-44.817931894372002
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1e+05)",0.009999068030075,0.099995340041797,-314.041449030348190,0.091579880412197,-0.013404323598525,-0.192221868013003,-47.011631723315375
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1e+05)",0.009692666558331,0.098451341069238,-314.368196976755371,0.091579874226982,-0.003565143754229,-0.155688609722846,-44.818389922024032
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1e+05, periodicity=1e+05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009999070476017,0.099995352272078,-314.041449004536503,0.091579891712559,-0.013404514431454,-0.192222159650801,-47.011645409874994
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=9.62e+03, periodicity=1e-05) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009692669045074,0.098451353698535,-314.368196949987237,0.091579885860566,-0.003565334586605,-0.155688906225381,-44.818403945243567
"ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1e-05)",0.035764845744681,0.189115958461154,-312.778520511366310,0.091580122441456,-3.476016326926865,-3.264360545870040,-141.757120557213540
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1e-05)",0.009999119174477,0.099995595775401,-314.041522786278392,0.091580122441456,-0.013410064608460,-0.192227966128882,-47.011858323699542
"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5) * Matern(length_scale=1e+05, nu=1.5)",0.009998815942876,0.099994079539119,-314.041455201722101,0.091578672647755,-0.013375791755672,-0.192191810824644,-47.010522817203992
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=1e+05, nu=1.5)",0.009692410038828,0.098450038287590,-314.368203358958795,0.091578635631043,-0.003536619022755,-0.155658024056193,-44.817244203053619
"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)","Matern(length_scale=1e+05, nu=1.5) * RBF(length_scale=1e+05)",0.009998916726056,0.099994583483586,-314.041452733938570,0.091579155512790,-0.013387199669898,-0.192203827535705,-47.010966117222772
"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=1e+05, nu=1.5) + RBF(length_scale=1e+05)",0.009692512594661,0.098450559138385,-314.368200806857431,0.091579130824960,-0.003548024153957,-0.155670252126462,-44.817702223900014
"Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=1e+05, nu=1.5) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009998919171935,0.099994595713642,-314.041452708127281,0.091579166812943,-0.013387390497562,-0.192204119165904,-47.010979803435802
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=1e+05, nu=1.5) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009692515080234,0.098450571761846,-314.368200780117377,0.091579142452999,-0.003548214857789,-0.155670548489618,-44.817716241849318
"Matern(length_scale=1, nu=1.5) * WhiteKernel(noise_level=1)","Matern(length_scale=1, nu=1.5) * WhiteKernel(noise_level=1e-05)",0.035764845744681,0.189115958461154,-312.778520511366310,0.091580122441456,-3.476016326926865,-3.264360545870040,-141.757120557213540
