kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.068845896926745,0.262385016582017,-329.576883639833738,0.112596127689256,-4.123708395725964,-4.430391646172928,-325.458847871536932
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.001362434753468,0.036911173829451,-335.079241654659938,0.036336741579129,0.937129741900825,0.892534564382822,-9.166623534354111
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.014731812474028,0.121374678059420,-330.679952723179099,0.112596127689256,-0.014442841074358,-0.162008412455853,-76.738987686556456
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.014731517680171,0.121373463657302,-330.679956667447243,0.112594968745685,-0.014423324496279,-0.161985159855898,-76.737356739469277
RBF(length_scale=1),RBF(length_scale=1e+05),0.014731714038618,0.121374272556492,-330.679954039304334,0.112595740721887,-0.014436326263693,-0.162000648117633,-76.738442898071725
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.014731719185550,0.121374293759223,-330.679954010581696,0.112595760059504,-0.014436560979091,-0.162001054094755,-76.738481573622991
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.068861252525253,0.262414276527121,-329.576935712415320,0.112596127689256,-4.125019839247278,-4.431602857262886,-325.515439814315130
1**2 * 1**2,0.00316**2 * 0.00316**2,0.068861252371662,0.262414276234472,-329.576856622839728,0.112596127689256,-4.125019826129715,-4.431602845148022,-325.515439248281041
1**2 + 1**2,0.00316**2 + 0.00316**2,0.068830548307488,0.262355766674736,-329.576910661143529,0.112596127689256,-4.122397577514646,-4.429180985588723,-325.402278836706728
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.010779503769911,0.103824389089997,-329.771713300824217,0.036957847282176,0.022482652363309,0.149739783558920,-33.253917454548471
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.001362395807579,0.036910646263368,-335.079261262417049,0.036336191125281,0.937131750626387,0.892537636336809,-9.166353266678669
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=1e+05, periodicity=1e-05)",0.068845896926747,0.262385016582020,-329.576883639833738,0.112596127689256,-4.123708395726095,-4.430391646173048,-325.458847871542673
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=3.93e+03, periodicity=0.00345)",0.014731802256866,0.121374635970067,-330.679957729992338,0.112596127680414,-0.014442570840446,-0.162007606551790,-76.738892085991068
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.068845896936708,0.262385016601003,-329.576883639856419,0.112596127685343,-4.123708396291979,-4.430391646958802,-325.458847935662050
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.014731507398150,0.121373421300340,-330.679961187807862,0.112594968745231,-0.014423052737062,-0.161984348835895,-76.737260513731300
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.068845896930070,0.262385016588353,-329.576883639841299,0.112596127687950,-4.123708395914814,-4.430391646435182,-325.458847892939787
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=8.72e+04),0.014731672808617,0.121374102709832,-330.679958973454404,0.112595619059173,-0.014434006251023,-0.161997395998603,-76.738175391887680
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=39.7, length_scale=1e+05)",0.068845896930070,0.262385016588353,-329.576883639841299,0.112596127687950,-4.123708395914814,-4.430391646435182,-325.458847892939787
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.014731708903572,0.121374251402727,-330.679958530940439,0.112595760059362,-0.014436289218749,-0.162000243078145,-76.738385348505275
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.068861252525253,0.262414276527121,-329.576856623360527,0.112596127689256,-4.125019839247278,-4.431602857262886,-325.515439814315130
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.068845896942097,0.262385016611272,-329.576962729704860,0.112596127689256,-4.123708397037094,-4.430391647383862,-325.458847928117507
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.015927857612356,0.126205616405752,-339.942152766194454,0.125922450846277,0.358574245271756,-0.256349452627546,-126.856828184589091
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.001362476784776,0.036911743182573,-335.425811899351913,0.036337159225117,0.937129742128190,0.892531249058662,-9.167123779356313
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1e+05, periodicity=1e-05)",0.001362434753468,0.036911173829451,-335.079241654659938,0.036336741579129,0.937129741900825,0.892534564382822,-9.166623534354111
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=6.72e+03, periodicity=9.67e+04)",0.000766909794237,0.027693136229699,-335.876063984040229,0.026470705257311,0.961588739167954,0.939508079262557,-4.432065183384990
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * Matern(length_scale=1e+05, nu=1.5)",0.001238654446150,0.035194522956701,-335.098037686117664,0.034665010075990,0.941484588526713,0.902298044514928,-8.112416241083938
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000766908616133,0.027693114959006,-335.876064495885601,0.026470684361951,0.961588774155975,0.939508172188439,-4.432054528313141
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.001319356314778,0.036322944742662,-335.085590899951001,0.035763924129593,0.938638459773630,0.895932483562209,-8.799073841094744
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=1e+05),0.000766909402161,0.027693129150768,-335.876064154393703,0.026470698302449,0.961588750785130,0.939508110188490,-4.432061634764573
