kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.023739900437452,0.154077579282164,-165.685965094204334,0.073196324361268,-3.103217114261283,-3.430985687623203,-640.713190719508475
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000209301433575,0.014467253836686,-170.500648473470392,0.013690269552331,0.977992187975026,0.960934475735744,-7.572280714074585
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.006597602493827,0.081225627075617,-166.739200822581552,0.073196324361268,-0.038317452455064,-0.231423960677462,-198.326600871982464
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=4.6e+04, nu=1.5)",0.006597528753990,0.081225173154571,-166.739203417388978,0.073195883908061,-0.038305519596431,-0.231410197344148,-198.324440487751758
RBF(length_scale=1),RBF(length_scale=2.7e+04),0.006597531218987,0.081225188328416,-166.739203328927772,0.073195898657313,-0.038305922435695,-0.231410657428836,-198.324511894291476
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.006597597365669,0.081225595508248,-166.739201004304363,0.073196293708123,-0.038316619078396,-0.231423003521239,-198.326451354284046
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.023742350000000,0.154085528197816,-165.685969108672907,0.073196324361268,-3.103713648860155,-3.431442891587531,-640.764356125801896
1**2 * 1**2,0.00316**2 * 0.00316**2,0.023742349975502,0.154085528118320,-165.685929176494852,0.073196324361268,-3.103713643894213,-3.431442887014973,-640.764355614096530
1**2 + 1**2,0.00316**2 + 0.00316**2,0.023737451429932,0.154069631757630,-165.686001009726311,0.073196324361268,-3.102720698806888,-3.430528587253355,-640.662035540755596
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.016962365807831,0.130239647603295,-165.756150093031152,0.061486689468802,-1.984070838557670,-2.165977899559978,-446.753222686734262
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000209301160147,0.014467244386784,-170.500658288714050,0.013690258866600,0.977992195178115,0.960934526770344,-7.572265082578671
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=6.47e+04, periodicity=8.84e-05)",0.023739900437452,0.154077579282166,-165.685965094204334,0.073196324361268,-3.103217114261402,-3.430985687623311,-640.713190719520640
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=5.15, periodicity=1e-05)",0.006597594639410,0.081225578726226,-166.739205216628164,0.073196324361268,-0.038316771264991,-0.231422494672625,-198.326249415078053
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.023739900437829,0.154077579283388,-165.685965094204732,0.073196324360900,-3.103217114310656,-3.430985687693586,-640.713190732953080
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.006597579052527,0.081225482778047,-166.739205764904000,0.073196231262966,-0.038314249406238,-0.231419585424634,-198.325792663592011
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.023739900437577,0.154077579282572,-165.685965094204477,0.073196324361146,-3.103217114277749,-3.430985687646676,-640.713190723992852
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.006597589439284,0.081225546715822,-166.739205399487105,0.073196293302507,-0.038315930050124,-0.231421524083709,-198.326097005508700
