kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,35.9**2,2318.853810197962957,48.154478609969011,-10899.142287020074946,45.470475515674998,-0.000000002299510,-0.121538994256399,-196.823116504865027
DotProduct(sigma_0=1),DotProduct(sigma_0=24.8),92.832744624454349,9.634975071293871,-1220.278075088974674,9.602990271375605,0.916833341251635,0.955100428245072,0.218417208588358
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.0029, periodicity=1e+05)",851.385797058292951,29.178516018781576,-3872.226935173179299,24.657295423796970,0.922443633675447,0.588217952180684,-119.558560092714401
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=55.6, nu=1.5)",884.398447010499353,29.738837351357557,-4001.850926884485034,25.248222277625182,0.918346899048498,0.572251023147769,-124.052944961599664
RBF(length_scale=1),RBF(length_scale=46.2),851.385571340173328,29.178512150899220,-3872.226591069715596,24.657291497951608,0.922443640263358,0.588218061351720,-119.558525817898612
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=46.2)",851.385578311528775,29.178512270359651,-3872.227814502706224,24.657294115850178,0.922443599222671,0.588218057979948,-119.558520118328090
WhiteKernel(noise_level=1),WhiteKernel(noise_level=2.6e+03),4742.441861029999927,68.865389427708891,-856.302880529567574,45.470475515675005,-0.974452157185915,-1.293733848916055,-415.283694380494751
1**2 * 1**2,0.599**2 * 59.9**2,2318.853811109187063,48.154478619430478,-10899.142287023054450,45.470475515674998,-0.000000002299586,-0.121538994697123,-196.823116647621163
1**2 + 1**2,7.74**2 + 35**2,2318.853810598075142,48.154478614123477,-10899.142287019059950,45.470475515674998,-0.000000002299544,-0.121538994449918,-196.823116567548254
1**2 * DotProduct(sigma_0=1),0.753**2 * DotProduct(sigma_0=32.9),92.835162971997676,9.635100568857476,-1220.210985391462827,9.603088686226897,0.916833334410946,0.955099258584846,0.218039438944394
1**2 + DotProduct(sigma_0=1),3.87**2 + DotProduct(sigma_0=24.5),92.832744742196269,9.634975077404002,-1220.278075088196374,9.602990278121919,0.916833341251214,0.955100428188125,0.218417190210399
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","61**2 * ExpSineSquared(length_scale=1.09, periodicity=448)",5.728483189715769,2.393424991453831,-356.907158594408827,2.272324172220197,0.999675956494423,0.997229356483383,0.156099055529717
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","39.8**2 + ExpSineSquared(length_scale=0.00287, periodicity=8.54e+04)",481.845824604097857,21.950986870847011,-2380.485938613769576,20.025856664343703,0.955178228725601,0.766949999548704,-67.077050682411965
"1**2 * Matern(length_scale=1, nu=1.5)","110**2 * Matern(length_scale=362, nu=1.5)",0.339840782957817,0.582958646010004,-358.443121580572438,0.554783191153539,0.999857720455714,0.999835632290294,0.970300305238436
"1**2 + Matern(length_scale=1, nu=1.5)","39.5**2 + Matern(length_scale=41.5, nu=1.5)",543.576126314510020,23.314719091477599,-2541.713029489274049,21.250649180481446,0.950460290543300,0.737093464310922,-75.968055007811770
1**2 * RBF(length_scale=1),58.6**2 * RBF(length_scale=63.7),5.218908918371632,2.284493142552989,-357.518921490582102,2.167302737218205,0.999642748976357,0.997475817650218,0.241433618598108
1**2 + RBF(length_scale=1),39.9**2 + RBF(length_scale=39),481.843911461072082,21.950943293195216,-2380.485325361835748,20.025821502810423,0.955178269633205,0.766950924861242,-67.076757704908857
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","73.9**2 * RationalQuadratic(alpha=0.548, length_scale=115)",3.652210094727642,1.911075638149271,-356.302060116533994,1.820666347367162,0.999726304896900,0.998233568662914,0.473073082916114
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","39.9**2 + RationalQuadratic(alpha=1e+05, length_scale=39)",481.844964664304655,21.950967283113169,-2380.487517266795294,20.025843058657955,0.955178215502878,0.766950415467985,-67.076913760587004
1**2 * WhiteKernel(noise_level=1),7.14**2 * WhiteKernel(noise_level=51),4742.441861029999927,68.865389427708891,-856.302880529567574,45.470475515675005,-0.974452157185915,-1.293733848916055,-415.283694380494751
