kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,137**2,23796.384323676931672,154.260767286037236,-162909.694766713015269,143.618737915759397,-0.000000000004609,-0.153689028404648,-23.408924369738088
DotProduct(sigma_0=1),DotProduct(sigma_0=26.6),1618.968036589259327,40.236401884229899,-2734.130927092196089,36.935681201868547,0.987849541641248,0.921509686692510,-1.247590306631027
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.00964, periodicity=1)",9257.261942336861466,96.214665942032255,-39145.088832177483710,85.378251941723775,0.944468051495479,0.551192257165071,-11.998183497491441
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=163, nu=1.5)",10519.092495287226484,102.562627185964899,-39405.298491967929294,91.081887773928585,0.955707963505556,0.490016574135101,-13.967482970212918
RBF(length_scale=1),RBF(length_scale=155),9257.220145122200847,96.214448733660589,-39145.062848214380210,85.378050665269527,0.944467803709016,0.551194283564851,-11.998119573800944
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=155)",9257.233587295111647,96.214518588906898,-39145.071235081370105,85.378115410796624,0.944467883700553,0.551193631865535,-11.998140135123348
WhiteKernel(noise_level=1),WhiteKernel(noise_level=2.76e+04),57805.598027863132302,240.427947684671494,-2370.822655149864659,143.618737915767895,-2.086056496296901,-1.802513327991603,-51.394327033460215
1**2 * 1**2,11.7**2 * 11.7**2,23796.384355587302707,154.260767389467190,-162909.694768424815265,143.618737915767895,-0.000000000007671,-0.153689029951716,-23.408924416612535
1**2 + 1**2,137**2 + 0.0532**2,23796.384350024185551,154.260767371435662,-162909.694765165448189,143.618737915753371,-0.000000000002164,-0.153689029682007,-23.408924408344472
1**2 * DotProduct(sigma_0=1),0.896**2 * DotProduct(sigma_0=29.7),1618.972208832176648,40.236453730816990,-2734.119811003553423,36.935726993875470,0.987849541614991,0.921509484415105,-1.247596427506008
1**2 + DotProduct(sigma_0=1),26.6**2 + DotProduct(sigma_0=0.0618),1618.968033931294713,40.236401851200547,-2734.130927060261911,36.935681162913170,0.987849541641990,0.921509686821373,-1.247590302745572
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","159**2 * ExpSineSquared(length_scale=1.1, periodicity=611)",1806.054709604368782,42.497702403828477,-813.174708627683231,39.930496192297014,0.999889892248468,0.912439407818106,-1.648527504127832
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","142**2 + ExpSineSquared(length_scale=0.00457, periodicity=1e+05)",8477.656814516234590,92.074191902596866,-19980.529100593736075,84.243406159259422,0.976911564340955,0.588988834587119,-11.195170865345311
"1**2 * Matern(length_scale=1, nu=1.5)","316**2 * Matern(length_scale=842, nu=1.5)",564.537704531046074,23.760002199727300,-807.871357172395733,22.187334333107785,0.999960413539685,0.972630255631307,0.172175914542862
"1**2 + Matern(length_scale=1, nu=1.5)","142**2 + Matern(length_scale=89.4, nu=1.5)",8579.016265158781607,92.622979142104811,-20501.406306482753280,84.633687952762983,0.977305795196449,0.584074756694408,-11.348017117983817
1**2 * RBF(length_scale=1),149**2 * RBF(length_scale=77.5),2411.705888763812254,49.109122256092220,-815.446137553096378,46.189744735224536,0.999892754300560,0.883076412544014,-2.537115486605313
1**2 + RBF(length_scale=1),142**2 + RBF(length_scale=72.7),8477.659416458634951,92.074206032192507,-19980.528624677244807,84.243420127801116,0.976911560102407,0.588988708440543,-11.195174638163003
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","252**2 * RationalQuadratic(alpha=0.0745, length_scale=296)",1271.023458451154511,35.651415938937888,-809.354890906659534,33.337970247042819,0.999929597986481,0.938378629336516,-0.863993933995076
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","142**2 + RationalQuadratic(alpha=1e+05, length_scale=72.7)",8477.657149332811969,92.074193720785914,-19980.529308817931451,84.243407345802410,0.976911568627686,0.588988818354644,-11.195171401586649
1**2 * WhiteKernel(noise_level=1),12.9**2 * WhiteKernel(noise_level=166),57805.598027863132302,240.427947684671494,-2370.822655149865113,143.618737915767895,-2.086056496296901,-1.802513327991603,-51.394327033460215
1**2 + WhiteKernel(noise_level=1),136**2 + WhiteKernel(noise_level=8.95e+03),23816.751252845060662,154.326767778130630,-2170.105532865347413,143.618737915767895,-0.000003658124891,-0.154676451636848,-23.438766508162917
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=3.16) * DotProduct(sigma_0=3.21),790.135509930984426,28.109349155236313,-2025.564622640358948,25.980846209451350,0.992289556940132,0.961692891812422,-0.078234268092709
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=26.6) + DotProduct(sigma_0=1.45e-05),1618.959502075286991,40.236295829453375,-2734.276578279649584,36.935587540044487,0.987849541694528,0.921510100460207,-1.247577786123233
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1.19, periodicity=582)",2955.546337461212261,54.364936654623378,-809.870769226846619,51.226005828539165,0.999886264436694,0.856710106203913,-3.334922000688883
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=24.2) + ExpSineSquared(length_scale=0.702, periodicity=0.994)",1926.885386583795935,43.896302652772434,-1382.422108312965747,40.120063082685320,0.997242844559867,0.906581331883974,-1.797997583275141
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.000215) * Matern(length_scale=545, nu=1.5)",316.019553709929198,17.776938817184728,-807.127084993890094,16.669937019764536,0.999949057148973,0.984678836628398,0.536899074165468
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=25.1) + Matern(length_scale=30.2, nu=1.5)",1384.067371761765571,37.203055946545113,-1286.088893536296155,34.201138428935934,0.998960490063049,0.932898068897566,-1.019663411421963
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1.46) * RBF(length_scale=81.4),2323.860256400728758,48.206433765636810,-811.491768468087685,45.354963803892176,0.999889484797242,0.887335317631108,-2.408201793159668
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=24.9) + RBF(length_scale=27.4),1404.487649165529547,37.476494622169902,-1258.856210122473158,34.460608192542601,0.998996375491768,0.931908059252519,-1.049999144724612
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1.12e-05) * RationalQuadratic(alpha=0.0621, length_scale=252)",393.660351283981413,19.840875769077872,-805.234318580046420,18.703661181399060,0.999944521986805,0.980914679221147,0.423038985716096
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=24.9) + RationalQuadratic(alpha=1e+05, length_scale=27.4)",1404.487195997094886,37.476488576133903,-1258.856477309486763,34.460602534377408,0.998996375794293,0.931908081222892,-1.049998483052557
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=2.37e-05) * WhiteKernel(noise_level=0.466),57805.598027863132302,240.427947684671494,-2159.267176062781346,143.618737915767895,-2.086056496296901,-1.802513327991603,-51.394327033460215
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=26.6) + WhiteKernel(noise_level=99.2),1620.100801517438413,40.250475792435530,-1375.846639004762210,36.951704332008973,0.987849472929367,0.921454768329635,-1.249251477609187
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1e+05, periodicity=1.03e-05) * ExpSineSquared(length_scale=0.00972, periodicity=1e+05)",9257.271057917205326,96.214713313074967,-39145.089275052414450,85.378293445905868,0.944468054671314,0.551191815226292,-11.998196904421766
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.682, periodicity=639) + ExpSineSquared(length_scale=0.0159, periodicity=7.18e+04)",9804.025001690091813,99.015276607653291,-22336.949993328529672,89.214470918383938,0.983255399773107,0.524684257708819,-13.207730620401831
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=0.0125, periodicity=1) * Matern(length_scale=293, nu=1.5)",9704.735901833037133,98.512617982840339,-39095.035131765114784,87.438311929737864,0.949312802889217,0.529497961487812,-12.705562337490509
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=0.0111, periodicity=1e+05) + Matern(length_scale=101, nu=1.5)",9259.161321886071164,96.224535966072978,-22233.782133178276126,86.617017038746710,0.982465421434148,0.551100172026552,-12.400057583258777
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=12.1, periodicity=0.0666) * RBF(length_scale=156)",9397.385240440087728,96.940111617637868,-38917.580721810700197,86.016174214256580,0.948111135758343,0.544398842272846,-12.242023445729139
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=1.98, periodicity=210) + RBF(length_scale=111)",10406.654263598224134,102.013010266329388,-24449.343302169094386,92.157451266172728,0.980170575407748,0.495467770102875,-14.059455052339461
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=0.0102, periodicity=1e+05) * RationalQuadratic(alpha=0.0561, length_scale=160)",9931.303084877688889,99.655923481134266,-38943.563620844113757,88.437171675895044,0.952908767392690,0.518513600598369,-13.075730219256737
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=0.0123, periodicity=8.7e+04) + RationalQuadratic(alpha=1.1, length_scale=66.9)",9525.061765091995767,97.596422911354679,-22177.084683625631442,87.890779642121046,0.983329947136463,0.538208868045157,-12.799243369303289
"ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=0.00029, periodicity=86.4) * WhiteKernel(noise_level=2.76e+04)",57805.598027863132302,240.427947684671494,-2370.822655149865113,143.618737915767895,-2.086056496296901,-1.802513327991603,-51.394327033460215
