kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.035756740684597,0.189094528436433,-345.960676300621913,0.091580122441456,-3.431499976168618,-3.263394152817741,-651.044756919538600
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000048446785889,0.006960372539510,-351.709835070765791,0.006308928213291,0.992965900529181,0.994223529893206,0.454081968855449
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.009118945220865,0.095493168451280,-347.227870665566229,0.091580122441456,-0.010956769104860,-0.087281921957924,-204.355880748494172
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.009118750929154,0.095492151139004,-347.227875551011323,0.091579114828029,-0.010933594708845,-0.087258755916356,-204.352041086608494
RBF(length_scale=1),RBF(length_scale=1e+05),0.009118880349677,0.095492828786655,-347.227872295868167,0.091579786020311,-0.010949032593762,-0.087274187152272,-204.354598385743998
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009118883439655,0.095492844965764,-347.227872255313116,0.091579801777525,-0.010949344387925,-0.087274555580533,-204.354678056329163
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.035764845744681,0.189115958461154,-345.960706078109183,0.091580122441456,-3.432646192861760,-3.264360545870040,-651.146109123433575
1**2 * 1**2,0.00316**2 * 0.00316**2,0.035764845663611,0.189115958246814,-345.960622810718064,0.091580122441456,-3.432646181396722,-3.264360536203781,-651.146108109702936
1**2 + 1**2,0.00316**2 + 0.00316**2,0.035748639530001,0.189073106310764,-345.960729787138348,0.091580122441456,-3.430354333490381,-3.262428225429723,-650.943446440477715
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.005611477457057,0.074909795467996,-346.290488360691540,0.034934448171377,0.321066358108281,0.330925030608530,-106.743921810623391
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000048445742955,0.006960297619686,-351.709855751862335,0.006308872237766,0.992966165354192,0.994223654245685,0.454056554592913
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=2.52e+04, periodicity=375)",0.035756740684602,0.189094528436447,-345.960676300621913,0.091580122441450,-3.431499976169290,-3.263394152818399,-651.044756919642396
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=180, periodicity=0.00201)",0.009118940989506,0.095493146295985,-347.227875287278607,0.091580122441099,-0.010956562344734,-0.087281417439122,-204.355699477008756
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.035756740689331,0.189094528448950,-345.960676300636464,0.091580122435433,-3.431499976726011,-3.263394153382172,-651.044757015463574
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.009118746697838,0.095492128983692,-347.227880172724895,0.091579114827800,-0.010933387956778,-0.087258251402553,-204.351859814949080
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.035756740686176,0.189094528440610,-345.960676300626744,0.091580122439445,-3.431499976354601,-3.263394153006090,-651.044756951553950
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.009118876118379,0.095492806631594,-347.227876917579806,0.091579786020235,-0.010948825841789,-0.087273682640600,-204.354417115105946
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=0.00346, length_scale=1e+05)",0.035756740686176,0.189094528440609,-345.960676300626744,0.091580122439445,-3.431499976354591,-3.263394153006077,-651.044756951550880
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.009118879208357,0.095492822810708,-347.227876877024642,0.091579801777453,-0.010949137635951,-0.087274051068909,-204.354496785715298
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.035764845744681,0.189115958461154,-345.960622811015810,0.091580122441456,-3.432646192861760,-3.264360545870040,-651.146109123433575
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.035756740692700,0.189094528457859,-345.960759568524395,0.091580122441456,-3.431499977314546,-3.263394153783901,-651.044757020869724
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.002829071284434,0.053189014696961,-356.592944248712058,0.051278624627558,0.657646799629024,0.662680497689927,-53.299193096036177
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=6.58e-05) + DotProduct(sigma_0=1e-05),0.000048444898059,0.006960236925507,-352.056406334620476,0.006309020339251,0.992965900779194,0.994223754985354,0.454192995309450
