kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.055538998976633,0.235667135970700,-343.981370420263374,0.107048319098269,-3.784453731021398,-3.846613004758845,-220.095204669317098
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000422616115208,0.020557629124195,-349.632521676392344,0.020421421118045,0.966402925850383,0.963120387516360,-0.848783610671850
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.013439895553859,0.115930563501860,-345.174311276958065,0.107048319098269,-0.012221430378178,-0.172833032178675,-61.124022575220835
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.013439602251210,0.115929298502193,-345.174315908366452,0.107047111523205,-0.012198934278426,-0.172807437111143,-61.122690876008377
RBF(length_scale=1),RBF(length_scale=1e+05),0.013439797607089,0.115930141063869,-345.174312822456272,0.107047915854174,-0.012213920445631,-0.172824484849792,-61.123577712900392
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.013439803243337,0.115930165372679,-345.174312785202346,0.107047938131219,-0.012214216457616,-0.172824976697216,-61.123611374709284
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.055551227053140,0.235693078076426,-343.981412507469713,0.107048319098269,-3.785710273944503,-3.847680088352652,-220.131852467016643
1**2 * 1**2,0.00316**2 * 0.00316**2,0.055551226930831,0.235693077816958,-343.981329830887375,0.107048319098269,-3.785710261375947,-3.847680077679305,-220.131852100462595
1**2 + 1**2,0.00316**2 + 0.00316**2,0.055526776653507,0.235641203216896,-343.981411010345084,0.107048319098269,-3.783197813597079,-3.845546423234113,-220.058572083966851
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.007819957034994,0.088430520947206,-344.252759437313784,0.034827743496813,0.228994410548554,0.317591131262468,-24.365131978862909
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000422602403409,0.020557295624884,-349.632542205561094,0.020421079388366,0.966403929554687,0.963121584077064,-0.848718512605669
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=8.41e+04, periodicity=5.27e-05)",0.055538998976634,0.235667135970704,-343.981370420263374,0.107048319098269,-3.784453731021575,-3.846613004758997,-220.095204669322300
