kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,1.38**2,0.596846875871875,0.772558655295425,-675.784195315941815,0.732370107181453,-0.001212851435160,-0.112760512267265,-39.673664132308417
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.090350622665366,0.300583803065577,-674.678485262281356,0.300103987493380,0.833327614698151,0.831550420677143,-4.403803766889200
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.0208, periodicity=6.26e+04)",0.157966429165108,0.397449907743238,-671.831135779154465,0.349589247459345,0.915579600940962,0.705487602021844,-18.768704157709145
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=295, nu=1.5)",0.160222600041471,0.400278153340238,-672.134475786834855,0.352981535036089,0.904059724859376,0.701281200075823,-18.536760658014050
RBF(length_scale=1),RBF(length_scale=207),0.157966206163566,0.397449627202701,-671.831091997239696,0.349588662812298,0.915582852446916,0.705488017785620,-18.768832437016457
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e+05, length_scale=207)",0.157966101708387,0.397449495795864,-671.831095046995642,0.349588580008636,0.915582584382355,0.705488212531715,-18.768803215027916
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),3.148199858208956,1.774316729958030,-704.435629142805055,0.732370107181453,-4.728117072165123,-4.869499579473979,-191.253476600620928
1**2 * 1**2,1.18**2 * 1.18**2,0.596846867132305,0.772558649639175,-675.784195315941815,0.732370107181453,-0.001212849502585,-0.112760495973222,-39.673662902069516
1**2 + 1**2,0.117**2 + 1.38**2,0.596846871493817,0.772558652461945,-675.784195315941815,0.732370107181453,-0.001212850467043,-0.112760504104819,-39.673663516024398
1**2 * DotProduct(sigma_0=1),0.00805**2 * DotProduct(sigma_0=0.406),0.084278179200235,0.290307042973875,-670.363127430404802,0.290259448513768,0.832310672360735,0.842871876102543,-3.431343788426510
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.090343911257355,0.300572638903402,-674.678489108094027,0.300092709877581,0.833338583989896,0.831562933417208,-4.403331984423654
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","1.55**2 * ExpSineSquared(length_scale=0.0191, periodicity=8.72e+04)",0.083656114818863,0.289233668197296,-671.489020598965340,0.264849532509527,0.936571244090207,0.844031652098132,-8.535646663670644
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.768**2 + ExpSineSquared(length_scale=0.0125, periodicity=1e+05)",0.129430476734447,0.359764473974914,-671.737893728864037,0.324835327090139,0.913683634982872,0.758689993336017,-14.342617774871032
"1**2 * Matern(length_scale=1, nu=1.5)","1.62**2 * Matern(length_scale=447, nu=1.5)",0.083009672165433,0.288113991616917,-671.774194727331633,0.264720398766557,0.928885609427138,0.845236878911344,-8.054293880411402
"1**2 + Matern(length_scale=1, nu=1.5)","0.83**2 + Matern(length_scale=282, nu=1.5)",0.130061143412995,0.360639908236727,-672.023253541620647,0.326612195678486,0.905276130997589,0.757514179229148,-14.019126364232593
1**2 * RBF(length_scale=1),1.55**2 * RBF(length_scale=265),0.083464802725565,0.288902756521229,-671.488989989351467,0.264580557669490,0.936589029399174,0.844388334107452,-8.507493717930169
1**2 + RBF(length_scale=1),0.767**2 + RBF(length_scale=199),0.129444386107754,0.359783804676856,-671.737878653107828,0.324847833073465,0.913686703291224,0.758664060719140,-14.344882110207022
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","1.55**2 * RationalQuadratic(alpha=1e+05, length_scale=265)",0.083469643465288,0.288911134200964,-671.488992288490749,0.264587467410119,0.936590947970067,0.844379309038826,-8.508324172076353
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.767**2 + RationalQuadratic(alpha=1e+05, length_scale=199)",0.129444926657586,0.359784555890864,-671.737881548149744,0.324848404619295,0.913686661619526,0.758663052918760,-14.344962083835277
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),3.148199858208956,1.774316729958030,-704.435505965177754,0.732370107181453,-4.728117072165123,-4.869499579473979,-191.253476600620928
1**2 + WhiteKernel(noise_level=1),1.38**2 + WhiteKernel(noise_level=1e-05),0.596846884548094,0.772558660910674,-675.784349213157611,0.732370107181453,-0.001212853353728,-0.112760528443195,-39.673665353629531
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=2.93e-05) * DotProduct(sigma_0=0.0126),0.038926134769852,0.197297072380336,-681.005026716727230,0.178147100892545,0.969071002522145,0.927426166713515,-3.366494734043995
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.090350843400307,0.300584170242391,-675.025042207516435,0.300104313940330,0.833327614810745,0.831550009139216,-4.403837278549701
