kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000012242555395,0.003498936323358,-629.350586349628657,0.000000000000000,0.000000000000000,-16273147370864552515194819969024.000000000000000,0.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000003623507571,0.001903551305136,-636.227701673548609,0.001891311287364,0.000000000000000,-4816467706692269819493598887936.000000000000000,0.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000012424439,0.000111464968153,-631.073658105708773,0.000000000000000,0.000000000000000,-16514912317298743583629639680.000000000000000,0.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000000012425147,0.000111468142795,-631.073692032266877,0.000000006896071,0.000000000000000,-16515853055678663926608822272.000000000000000,0.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000000012424676,0.000111466029893,-631.073669438664524,0.000000002306572,0.000000000000000,-16515226938537020397251985408.000000000000000,0.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000012424636,0.000111465851982,-631.073668534291528,0.000000001914293,0.000000000000000,-16515174218713942229191229440.000000000000000,0.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000012250000000,0.003500000000000,-629.350586429053237,0.000000000000000,0.000000000000000,-16283042948365223420939057758208.000000000000000,0.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000012249999926,0.003499999989360,-629.350434430834980,0.000000000000000,0.000000000000000,-16283042849364317691110727090176.000000000000000,0.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000012235117574,0.003497873293038,-629.350738223796043,0.000000000000000,0.000000000000000,-16263260811276663935601335074816.000000000000000,0.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000003204859996,0.001790212276849,-630.521743297446392,0.001709649792020,0.000000000000000,-4259989629494582181340727214080.000000000000000,0.000000000000000
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000003622959572,0.001903407358321,-636.227739481542585,0.001891168266139,0.000000000000000,-4815739290313968336226077376512.000000000000000,0.000000000000000
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=1e+05, periodicity=1e+05)",0.000012242555395,0.003498936323358,-629.350586349628657,0.000000000000000,0.000000000000000,-16273147370864552515194819969024.000000000000000,0.000000000000000
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=58.2, periodicity=1e+05)",0.000000012424201,0.000111463901365,-631.073663078260324,0.000000000026838,0.000000000000000,-16514596203343685293963214848.000000000000000,0.000000000000000
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.000012242555418,0.003498936326728,-629.350586349628657,0.000000000002165,0.000000000000000,-16273147402210970512380565389312.000000000000000,0.000000000000000
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.000000012424906,0.000111467063621,-631.073696872961136,0.000000006896004,0.000000000000000,-16515533262199488040140800000.000000000000000,0.000000000000000
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.000012242555403,0.003498936324484,-629.350586349628657,0.000000000000724,0.000000000000000,-16273147381339299248110389166080.000000000000000,0.000000000000000
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.000000012424435,0.000111464950741,-631.073674279351735,0.000000002306550,0.000000000000000,-16514907157656583104492470272.000000000000000,0.000000000000000
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=6.24e+03, length_scale=1e+05)",0.000012242555403,0.003498936324484,-629.350586349628657,0.000000000000724,0.000000000000000,-16273147381339299248110389166080.000000000000000,0.000000000000000
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000012424396,0.000111464772832,-631.073673374978398,0.000000001914274,0.000000000000000,-16514854438873390048633421824.000000000000000,0.000000000000000
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.000012250000000,0.003500000000000,-629.350434430835548,0.000000000000000,0.000000000000000,-16283042948365223420939057758208.000000000000000,0.000000000000000
