kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.001599027643417,0.039987843695517,-629.374712815183102,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000473274458296,0.021754872058818,-636.233705421380137,0.021614986141439,0.000000000000000,0.000000000000000,0.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000001622783886,0.001273885350318,-631.074426698065508,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000001622876324,0.001273921631945,-631.074460626339146,0.000000078812236,0.000000000000000,0.000000000000000,0.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000001622814801,0.001273897484488,-631.074438031594241,0.000000026360823,0.000000000000000,0.000000000000000,0.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000001622809621,0.001273895451221,-631.074437127175543,0.000000021877632,0.000000000000000,0.000000000000000,0.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.001600000000000,0.040000000000000,-629.374720204919527,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.001599999990272,0.039999999878400,-629.374568230761611,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.001598056172950,0.039975694777575,-629.374857359361613,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000418593958685,0.020459568878274,-630.529488446833739,0.019538854765946,0.000000000000000,0.000000000000000,0.000000000000000
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000473202882839,0.021753226952317,-636.233742775369819,0.021613351613116,0.000000000000000,0.000000000000000,0.000000000000000
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=3.72e+03, periodicity=5.29e+04)",0.001599027643417,0.039987843695517,-629.374712815183102,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=4.47e+03, periodicity=0.0318)",0.000001622752622,0.001273873079065,-631.074432268373130,0.000000000003929,0.000000000000000,0.000000000000000,0.000000000000000
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.001599027646497,0.039987843734030,-629.374712815200155,0.000000000024739,0.000000000000000,0.000000000000000,0.000000000000000
