kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.422**2,0.110876752838355,0.332981610360624,-415.839257530625446,0.277125723574458,-0.205161719041148,-0.443732784054689,-160.300231252634006
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.001607706925109,0.040096220833247,-420.311179777434745,0.039390757663834,0.973126884235706,0.979065952640994,-0.163347326897091
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.149, periodicity=3.32e+04)",0.072456799154726,0.269178006446897,-416.208005053867851,0.251513532986344,0.173628345456291,0.056535714751221,-99.553719290680178
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1.62e+03, nu=1.5)",0.077415419783320,0.278236266118060,-416.209061513651932,0.260283667219347,0.114259269568073,-0.008030778963003,-106.082971633650274
RBF(length_scale=1),RBF(length_scale=787),0.072448437194995,0.269162473600974,-416.208003825388573,0.251498506997090,0.173727429028697,0.056644596325523,-99.542579453453087
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=6.74e+04, length_scale=786)",0.072447418322936,0.269160580923240,-416.208003827870073,0.251496666520498,0.173740041262472,0.056657863119115,-99.541289559412490
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.388162666666667,0.623027019210778,-416.864473122131926,0.277125723574458,-4.284182104552613,-4.054289136964184,-430.470919324577892
1**2 * 1**2,35.5**2 * 0.0119**2,0.110876743536013,0.332981596392372,-415.839257530625446,0.277125723574458,-0.205161620206571,-0.443732662928342,-160.300217435174631
1**2 + 1**2,0.00316**2 + 0.422**2,0.110876739673842,0.332981590592997,-415.839257530625446,0.277125723574458,-0.205161579172176,-0.443732612638789,-160.300211698405406
1**2 * DotProduct(sigma_0=1),0.00414**2 * DotProduct(sigma_0=1e-05),0.011454402389294,0.107025241832449,-415.422614319205081,0.017051915062649,0.805940508774051,0.850851546173187,-6.963654036328772
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.001607547351898,0.040094230905427,-420.311203878737615,0.039388802729164,0.973129551485939,0.979068030453250,-0.163231853014285
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.425**2 * ExpSineSquared(length_scale=1, periodicity=1)",0.104771284116114,0.323683926255404,-415.838529989739982,0.267339520242489,-0.121539424658068,-0.364233113197890,-153.576923882439843
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=0.187, periodicity=2.64e+04)",0.072453486075891,0.269171852309805,-416.208009508993371,0.251507581345802,0.173671459763939,0.056578854547500,-99.549787953095915
"1**2 * Matern(length_scale=1, nu=1.5)","0.424**2 * Matern(length_scale=1.32e+03, nu=1.5)",0.108332792343242,0.329139472478222,-415.839022609266010,0.273093706158825,-0.170084073578491,-0.410607723353386,-157.528205909480874
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1.62e+03, nu=1.5)",0.077421341078962,0.278246906683546,-416.209065248751642,0.260294105895881,0.114184264205345,-0.008107880505245,-106.090254393419443
1**2 * RBF(length_scale=1),0.426**2 * RBF(length_scale=493),0.104278083414714,0.322921172137589,-415.838468221596600,0.266530478005234,-0.114888404206433,-0.357811117572106,-153.020806108160741
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=786),0.072444639292549,0.269155418471465,-416.208007565296612,0.251491724278936,0.173774001756709,0.056694049038838,-99.537716258789729
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.426**2 * RationalQuadratic(alpha=208, length_scale=493)",0.104276315349321,0.322918434514539,-415.838469180519951,0.266526345453534,-0.114857785633217,-0.357788095487606,-153.019659933851472
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=7.69e+04, length_scale=787)",0.072454181074695,0.269173143301287,-416.208007567791526,0.251508958648543,0.173655977444287,0.056569804926795,-99.549807407817099
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.388162666666667,0.623027019210778,-416.864375941310982,0.277125723574458,-4.284182104552613,-4.054289136964184,-430.470919324577892
1**2 + WhiteKernel(noise_level=1),0.422**2 + WhiteKernel(noise_level=1e-05),0.110876790501999,0.332981666915762,-415.839356497256176,0.277125723574458,-0.205162119206116,-0.443733274475243,-160.300287197229380
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.051588882694284,0.227131861909076,-425.603987766892942,0.226614626902293,0.509196292294529,0.328258094398986,-82.797176111145134
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1.63e-05),0.001607737984163,0.040096608137878,-420.657747219894247,0.039391346654310,0.973126884360956,0.979065548219207,-0.163434750782197
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1e+05, periodicity=1e-05)",0.001607706925109,0.040096220833247,-420.311179777434745,0.039390757663834,0.973126884235706,0.979065952640994,-0.163347326897091
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=4.45e+04, periodicity=1e+05)",0.000045176576670,0.006721352294740,-421.192006867571536,0.006602790990831,0.999244738371813,0.999411753111990,0.967325800071441
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * Matern(length_scale=1e+05, nu=1.5)",0.001310399021751,0.036199433997661,-420.367590490237944,0.035233782231548,0.976212734823991,0.982937216508737,0.287391182611835
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000045176122702,0.006721318524048,-421.192007710732469,0.006602753656547,0.999244740918012,0.999411759023138,0.967326759189819
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.001494352274707,0.038656852881568,-420.330717595064584,0.037865300840908,0.974277809860965,0.980541950276387,0.011709931628430
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=1e+05),0.000045176424886,0.006721341003523,-421.192007147860977,0.006602778507431,0.999244739222231,0.999411755088383,0.967326120865927
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.001501490302033,0.038749068402126,-420.330314212090684,0.037966978984578,0.974228579265772,0.980449005598631,-0.002220806381985
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=0.000256) + RationalQuadratic(alpha=64.6, length_scale=1e+05)",0.000045176419959,0.006721340637001,-421.192007174982677,0.006602778147360,0.999244739304597,0.999411755152538,0.967326124429912
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05),0.388162666666667,0.623027019210778,-418.128709606773896,0.277125723574458,-4.284182104552613,-4.054289136964184,-430.470919324577892
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05),0.001607706925049,0.040096220832499,-420.311279263055440,0.039390757662687,0.973126884235710,0.979065952641775,-0.163347326728696
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=7.17e+04, periodicity=1.38) * ExpSineSquared(length_scale=0.0494, periodicity=1e+05)",0.072436959977304,0.269141152515374,-416.208003964628404,0.251477767153808,0.173869883946739,0.056794041858751,-99.528097146838647
