kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.018893079434296,0.137452098690038,-795.202753891166253,0.068008208725073,-3.096502614711733,-3.084887293591204,-257.931879700089382
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000002542535328,0.001594532949651,-802.196094975966730,0.001594532904495,0.999231804311564,0.999450276473508,0.979743727240165
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.005298644648310,0.072791789703988,-796.867168817156426,0.068008208725073,-0.001996238749592,-0.145624050986894,-81.498176297559610
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.005297198595205,0.072781856222585,-796.867229581743800,0.067998792794474,-0.001714317008492,-0.145311398728498,-81.476231214055375
RBF(length_scale=1),RBF(length_scale=1e+05),0.005298160553875,0.072788464428612,-796.867189124769652,0.068005056948564,-0.001901930479011,-0.145519384555416,-81.490825010185503
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.005298270748276,0.072789221374297,-796.867186861828941,0.068005755337245,-0.001917923781695,-0.145543209771968,-81.492866574871059
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.018901881250000,0.137484112718525,-795.202821571460163,0.068008208725073,-3.098881185317722,-3.086790340961301,-258.020889518897093
1**2 * 1**2,0.00316**2 * 0.00316**2,0.018901881161934,0.137484112398249,-795.202629806692130,0.068008208725073,-3.098881161518314,-3.086790321920583,-258.020888628380362
1**2 + 1**2,0.00316**2 + 0.00316**2,0.018884287084130,0.137420111643566,-795.202877955299755,0.068008208725073,-3.094126781590963,-3.082986292772504,-257.842953526259123
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000044479892379,0.006669324731854,-796.477069849506279,0.002933814438262,0.988933203080343,0.990382968121695,0.486070874120259
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000002542419187,0.001594496530736,-802.196142785687698,0.001594496483695,0.999231832517395,0.999450301584442,0.979745115603574
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=2e+04, periodicity=39.7)",0.018893079434318,0.137452098690118,-795.202753891166367,0.068008208725073,-3.096502614717692,-3.084887293595980,-257.931879700313459
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=1e+05, periodicity=7.48)",0.005298643416147,0.072791781240374,-796.867173648359085,0.068008208725063,-0.001996199838763,-0.145623784579953,-81.498144058098049
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.018893079467624,0.137452098811274,-795.202753891335078,0.068008208701890,-3.096502620615185,-3.084887300797159,-257.931880245844297
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.005297197362863,0.072781847756589,-796.867234411091886,0.067998792792671,-0.001714278097404,-0.145311132282951,-81.476198969560116
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.018893079445436,0.137452098730561,-795.202753891222642,0.068008208717322,-3.096502616684073,-3.084887295999821,-257.931879882571366
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.005298159321645,0.072788455964150,-796.867193954106369,0.068005056947960,-0.001901891568057,-0.145519118133977,-81.490792768835405
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.018893079444030,0.137452098725447,-795.202753891217299,0.068008208718387,-3.096502616499672,-3.084887295695829,-257.931879855200009
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.005298269516058,0.072789212910008,-796.867191691164976,0.068005755336791,-0.001917884870744,-0.145542943353177,-81.492834333867279
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.018901881250000,0.137484112718525,-795.202629807368908,0.068008208725073,-3.098881185317722,-3.086790340961301,-258.020889518897093
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.018893079443093,0.137452098722038,-795.202945657119017,0.068008208725073,-3.096502617088932,-3.084887295493225,-257.931879789057120
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.002364292948935,0.048623995608498,-807.907893938142934,0.048390176617116,0.731764237800604,0.488814395820453,-47.841679417369441
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.000002542566117,0.001594542604407,-802.542668373044535,0.001594542551436,0.999231804312698,0.999450269816433,0.979742856153472
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1e+05, periodicity=4.79e+04)",0.000002542535291,0.001594532938106,-802.196094985052696,0.001594532892951,0.999231804316429,0.999450276481469,0.979743727954557
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=64.8, periodicity=1e-05)",0.000001870008565,0.001367482564735,-803.374745379508340,0.001365447263378,0.999377965616181,0.999595684004186,0.988937896267458
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=2.11e-05) * Matern(length_scale=1e+05, nu=1.5)",0.000001895122414,0.001376634451664,-802.907919183330932,0.001358519668016,0.999358345275822,0.999590254119575,0.989547130830231
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000001870005488,0.001367481439816,-803.374748783898440,0.001365446220789,0.999377965937815,0.999595684669382,0.988937961668313
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.000001909037327,0.001381679169361,-802.555126256358790,0.001373503630627,0.999334160272973,0.999587245565374,0.990780194634813
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=1e+05),0.000001870007543,0.001367482191100,-803.374746500687479,0.001365446917082,0.999377965722348,0.999595684225127,0.988937918034460
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000001928555162,0.001388724293162,-802.546602134655359,0.001382445643006,0.999330460030333,0.999583025599117,0.990476936288274
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000001870007244,0.001367482081653,-803.374747504877860,0.001365446818235,0.999377965776107,0.999595684289846,0.988937922886404
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.75e-05) * WhiteKernel(noise_level=1e-05),0.018901881250000,0.137484112718525,-804.265081576234024,0.068008208725073,-3.098881185317722,-3.086790340961301,-258.020889518897093
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05),0.000002542535327,0.001594532949641,-802.196286475838406,0.001594532904485,0.999231804311566,0.999450276473515,0.979743727241003
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)",0.005298644648310,0.072791789703988,-796.867168817156426,0.068008208725073,-0.001996238749592,-0.145624050986894,-81.498176297559610
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)",0.005237688762837,0.072371878259701,-797.205141407418523,0.068008208725073,-0.000511971435775,-0.132444731919136,-79.873629633786933
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1e+05, nu=1.5)",0.005297198595205,0.072781856222585,-796.867229581743800,0.067998792794474,-0.001714317008492,-0.145311398728498,-81.476231214055375
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1e+05, periodicity=1e+05) + Matern(length_scale=1e+05, nu=1.5)",0.005236234500931,0.072361830414456,-797.205203044978930,0.067998701511210,-0.000230048164583,-0.132130304829382,-79.851452434592417
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1e+05)",0.005298160553875,0.072788464428612,-796.867189124769652,0.068005056948564,-0.001901930479010,-0.145519384555415,-81.490825010185375
