kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000000476767399,0.000690483452971,-217.374318371752423,0.000684897589961,-0.000074030466560,-0.016378044199095,-11.460972970111667
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000000524947659,0.000724532717694,-222.661734859216438,0.000648282625534,0.118665880549903,-0.119089258792999,-32.064590441521972
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000475845462,0.000689815527284,-218.595439392023707,0.000684897589961,-0.000000559894244,-0.014412648338690,-11.273147887283342
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=9.27e+04, nu=1.5)",0.000000475844596,0.000689814899831,-218.595440927163736,0.000684896907680,0.000002822250960,-0.014410802929230,-11.273263111795794
RBF(length_scale=1),RBF(length_scale=4.48e+04),0.000000475844226,0.000689814631650,-218.595441584102986,0.000684896616003,0.000004269454117,-0.014410014178510,-11.273312503857353
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000475845213,0.000689815347282,-218.595439827621931,0.000684897394568,0.000000401249385,-0.014412118932092,-11.273180140160017
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000000476767508,0.000690483532199,-217.374318374479770,0.000684897589961,-0.000074046013774,-0.016378277443685,-11.460994659451984
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000000476767508,0.000690483532199,-217.374265875033558,0.000684897589961,-0.000074046013619,-0.016378277441353,-11.460994659235066
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000000476767289,0.000690483373760,-217.374370863485012,0.000684897589961,-0.000074014924242,-0.016377811005137,-11.460951285345667
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000000475383631,0.000689480696311,-217.539422804817463,0.000672060206836,0.057333523243712,-0.013428111670137,-16.221650693564616
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000000524943151,0.000724529606661,-222.661747798424130,0.000648280706304,0.118685766079362,-0.119079648416628,-32.065390474827183
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=26.2, periodicity=1e+05)",0.000000476767399,0.000690483452971,-217.374318371752423,0.000684897589961,-0.000074030466001,-0.016378044198803,-11.460972970131856
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=0.984, periodicity=1)",0.000000475845461,0.000689815526722,-218.595443957220255,0.000684897589961,-0.000000559883964,-0.014412646684045,-11.273147724616557
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=5.61e+04, nu=1.5)",0.000000476767399,0.000690483452955,-217.374318371752423,0.000684897589942,-0.000074030374441,-0.016378044150735,-11.460972973438103
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.000000475844717,0.000689814987168,-218.595445277337660,0.000684897003258,0.000002348527106,-0.014411059797769,-11.273246813516810
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=2.17e+03),0.000000476767394,0.000690483449323,-217.374318371753475,0.000684897585848,-0.000074009998909,-0.016378033457992,-11.460973709596910
1**2 + RBF(length_scale=1),0.00335**2 + RBF(length_scale=1e+05),0.000000475845213,0.000689815346730,-218.595444960207374,0.000684897394305,0.000000410272043,-0.014412117309404,-11.273180773809427
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=0.00352, length_scale=3.76e+04)",0.000000476767399,0.000690483452959,-217.374318371752423,0.000684897589947,-0.000074030398034,-0.016378044163134,-11.460972972587527
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000475845213,0.000689815346719,-218.595444392818877,0.000684897394568,0.000000401259609,-0.014412117277461,-11.273179977489857
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.000000476767508,0.000690483532199,-217.374265875033558,0.000684897589961,-0.000074046013774,-0.016378277443685,-11.460994659451984
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.000000476767399,0.000690483452971,-217.374370871671175,0.000684897589961,-0.000074030466576,-0.016378044199329,-11.460972970133351
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.000000600729582,0.000775067469608,-227.064994105239066,0.000677277183719,0.184613226166547,-0.280642006142838,-53.838900169968390
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.000000524949218,0.000724533793732,-223.008302062496227,0.000648282324295,0.118665880806755,-0.119092582822476,-32.064919064210230
