kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000553828787782,0.023533567255780,-1656.196628499795906,0.019368919683563,-0.233511548909139,-0.476266381627833,-6.209013169926976
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000287243215094,0.016948251092495,-1664.520292920349220,0.016539516537529,0.112769651399916,0.234334669578431,-1.732451681094653
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000412660217175,0.020314039902860,-1658.391326994249312,0.019368919683563,-0.000035647815399,-0.099972444715400,-4.042266409900244
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000412434312747,0.020308478838826,-1658.391953853007180,0.019363963038165,0.000256644258735,-0.099370281881322,-4.038468312328935
RBF(length_scale=1),RBF(length_scale=1e+05),0.000412584187397,0.020312168456295,-1658.391537195640467,0.019367251738509,0.000062565151085,-0.099769782434409,-4.040987481563138
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000412623626245,0.020313139251355,-1658.391468625749440,0.019368109455437,0.000022070457313,-0.099874909229495,-4.041693405619412
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000553985660749,0.023536899981713,-1656.196630370418006,0.019368919683563,-0.233885316834785,-0.476684536646650,-6.210956003697384
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000553985659179,0.023536899948355,-1656.196230385967510,0.019368919683563,-0.233885313092620,-0.476684532460836,-6.210955984251983
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000553672234082,0.023530240841995,-1656.197026300869766,0.019368919683563,-0.233138676235819,-0.475849077635350,-6.207073742911096
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000288073339276,0.016972723390073,-1658.766764409581128,0.016551930686692,0.112757931928754,0.232121919990387,-1.750729224720712
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000287241170261,0.016948190766586,-1664.520392717658524,0.016539450259912,0.112770769214713,0.234340120214482,-1.732411087200434
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=1.04e+04, periodicity=7.55e-05)",0.000553828787784,0.023533567255810,-1656.196628499795906,0.019368919683563,-0.233511548912564,-0.476266381631666,-6.209013169944786
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=1e+05, periodicity=1e+05)",0.000412660206214,0.020314039633070,-1658.391331932234607,0.019368919683557,-0.000035647110868,-0.099972415497968,-4.042266170797260
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.000553828790797,0.023533567319832,-1656.196628499822282,0.019368919683678,-0.233511553539955,-0.476266389663801,-6.209013217643697
