kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.002063313356817,0.045423709192631,-1291.866371119794167,0.023157386091857,-2.749679617327630,-2.847566339097517,-81.803832277844734
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000050187458678,0.007084310741217,-1299.780575252833842,0.007082199382373,0.860800011765851,0.906412869370119,0.134200022081621
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000603685778756,0.024570017882696,-1293.910570256894744,0.023157386091857,-0.000684928770350,-0.125723862572652,-25.533248157607293
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000603036392890,0.024556799320953,-1293.910862004312094,0.023144942502667,0.000354377150921,-0.124512919410539,-25.503817862158915
RBF(length_scale=1),RBF(length_scale=1e+05),0.000603467730130,0.024565580191188,-1293.910667944069701,0.023153209071489,-0.000336368233283,-0.125317256105338,-25.523356241999430
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000603557299182,0.024567403183526,-1293.910644509883696,0.023154890581053,-0.000451486263804,-0.125484280115247,-25.528091012185101
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.002064843193818,0.045440545703348,-1291.866390335294000,0.023157386091857,-2.753112288149306,-2.850419104689941,-81.849615642342741
1**2 * 1**2,0.00316**2 * 0.00316**2,0.002064843178506,0.045440545534867,-1291.866078380262934,0.023157386091857,-2.753112253790464,-2.850419076137338,-81.849615184159347
1**2 + 1**2,0.00316**2 + 0.00316**2,0.002061786191172,0.045406895854840,-1291.866663691691201,0.023157386091857,-2.746253362456019,-2.844718554921432,-81.758118764093155
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000050435671441,0.007101807617888,-1294.030724340678034,0.007072314664517,0.860264964075815,0.905950014287951,0.126247892847892
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000050187394169,0.007084306188289,-1299.780653058624921,0.007082195047138,0.860800199064064,0.906412989662778,0.134200934517630
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=6.02e+04, periodicity=0.0201)",0.002063313356817,0.045423709192636,-1291.866371119794167,0.023157386091857,-2.749679617328575,-2.847566339098302,-81.803832277857353
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=6.78e+03, periodicity=6.87e+04)",0.000603685698358,0.024570016246589,-1293.910575173414372,0.023157386084249,-0.000684914653055,-0.125723712649684,-25.533241773081794
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.002063313372467,0.045423709364904,-1291.866371119926953,0.023157386064813,-2.749679640724663,-2.847566368281942,-81.803833026629533
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.000603036312841,0.024556797691080,-1293.910866920700755,0.023144942501129,0.000354390638145,-0.124512770139146,-25.503811491773970
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.002063313362057,0.045423709250318,-1291.866371119838732,0.023157386082802,-2.749679625156630,-2.847566348870121,-81.803832528715816
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.000603467650112,0.024565578562543,-1293.910672860427212,0.023153209070972,-0.000336354749325,-0.125317106893138,-25.523349874190426
