combined_data1,combined_data2
1949.04166666667,112
1949.125,118
1949.20833333333,132
1949.29166666667,129
1949.375,121
1949.45833333333,135
1949.54166666667,148
1949.625,148
1949.70833333333,136
1949.79166666667,119
1949.875,104
1949.95833333333,118
1950.04166666667,115
1950.125,126
1950.20833333333,141
1950.29166666667,135
1950.375,125
1950.45833333333,149
1950.54166666667,170
1950.625,170
1950.70833333333,158
1950.79166666667,133
1950.875,114
1950.95833333333,140
1951.04166666667,145
1951.125,150
1951.20833333333,178
1951.29166666667,163
1951.375,172
1951.45833333333,178
1951.54166666667,199
1951.625,199
1951.70833333333,184
1951.79166666667,162
1951.875,146
1951.95833333333,166
1952.04166666667,171
1952.125,180
1952.20833333333,193
1952.29166666667,181
1952.375,183
1952.45833333333,218
1952.54166666667,230
1952.625,242
1952.70833333333,209
1952.79166666667,191
1952.875,172
1952.95833333333,194
1953.04166666667,196
1953.125,196
1953.20833333333,236
1953.29166666667,235
1953.375,229
1953.45833333333,243
1953.54166666667,264
1953.625,272
1953.70833333333,237
1953.79166666667,211
1953.875,180
1953.95833333333,201
1954.04166666667,204
1954.125,188
1954.20833333333,235
1954.29166666667,227
1954.375,234
1954.45833333333,264
1954.54166666667,302
1954.625,293
1954.70833333333,259
1954.79166666667,229
1954.875,203
1954.95833333333,229
1955.04166666667,242
1955.125,233
1955.20833333333,267
1955.29166666667,269
1955.375,270
1955.45833333333,315
1955.54166666667,364
1955.625,347
1955.70833333333,312
1955.79166666667,274
1955.875,237
1955.95833333333,278
1956.04166666667,284
1956.125,277
1956.20833333333,317
1956.29166666667,313
1956.375,318
1956.45833333333,374
1956.54166666667,413
1956.625,405
1956.70833333333,355
1956.79166666667,306
1956.875,271
1956.95833333333,306
1957.04166666667,315
1957.125,301
1957.20833333333,356
1957.29166666667,348
1957.375,355
1957.45833333333,422
1957.54166666667,465
1957.625,467
1957.70833333333,404
1957.79166666667,347
1957.875,305
1957.95833333333,336
1958.04166666667,340
1958.125,318
1958.20833333333,362
1958.29166666667,348
1958.375,363
1958.45833333333,435
1958.54166666667,491
1958.625,505
1958.70833333333,404
1958.79166666667,359
1958.875,310
1958.95833333333,337
1959.04166666667,360
1959.125,342
1959.20833333333,406
1959.29166666667,396
1959.375,420
1959.45833333333,472
1959.54166666667,548
1959.625,559
1959.70833333333,463
1959.79166666667,407
1959.875,362
1959.95833333333,405
1960.04166666667,417
1960.125,391
1960.20833333333,419
1960.29166666667,461
1960.375,472
1960.45833333333,535
1960.54166666667,622
1960.625,606
1960.70833333333,508
1960.79166666667,461
1960.875,390
1960.95833333333,432
