combined_data1,combined_data2
1981.010959,14.6
1981.013699,15.8
1981.024658,21.8
1981.027397,20
1981.030137,16.2
1981.049315,24.8
1981.054795,15.5
1981.063014,14.4
1981.065753,16
1981.079452,15.5
1981.082192,15.1
1981.084932,15.4
1981.093151,21.9
1981.106849,17.1
1981.123288,22
1981.136986,16.1
1981.142466,16.6
1981.145205,16.5
1981.158904,17.5
1981.180822,11.4
1981.189041,11.8
1981.19726,11.8
1981.20274,10.6
1981.205479,11.7
1981.210959,11.2
1981.219178,8.1
1981.221918,8
1981.254795,17.5
1981.260274,18.1
1981.271233,15.9
1981.279452,11.5
1981.282192,13.5
1981.287671,13.3
1981.315068,8.9
1981.326027,9.9
1981.353425,10.7
1981.356164,8.1
1981.358904,10.1
1981.367123,6.6
1981.383562,2.1
1981.386301,3.4
1981.394521,11.5
1981.4,12.6
1981.408219,11.4
1981.413699,12.8
1981.419178,10.6
1981.424658,11.2
1981.430137,7.1
1981.435616,3.5
1981.463014,4.3
1981.473973,7.1
1981.479452,5.8
1981.487671,9.2
1981.490411,10.2
1981.49589,9.5
1981.509589,7.4
1981.526027,6.8
1981.528767,5.7
1981.531507,6.1
1981.542466,8.8
1981.545205,5
1981.550685,10.1
1981.553425,12
1981.569863,7.7
1981.580822,3.2
1981.583562,5.7
1981.586301,7.7
1981.589041,9
1981.594521,6.2
1981.59726,6.9
1981.605479,7
1981.608219,5.2
1981.616438,7.9
1981.630137,7.6
1981.641096,7.9
1981.663014,5.5
1981.671233,10.3
1981.673973,9.8
1981.679452,8.5
1981.682192,7.5
1981.684932,11.2
1981.687671,14.6
1981.690411,11.7
1981.69863,10.1
1981.70411,7.3
1981.706849,10.9
1981.712329,10.7
1981.731507,7.2
1981.736986,10.7
1981.742466,9.6
1981.761644,11.4
1981.769863,7.3
1981.775342,7.8
1981.780822,5.6
1981.80274,11.2
1981.816438,8.4
1981.830137,11
1981.835616,9.2
1981.843836,13.7
1981.857534,14.2
1981.871233,9.5
1981.876712,8.9
1981.90137,11.9
1981.906849,12.6
1981.909589,17.8
1981.912329,15
1981.923288,14.2
1981.926027,11.5
1981.928767,13
1981.934247,14.7
1981.964384,15.6
1981.991781,13.3
1982.005479,15
1982.008219,13.5
1982.013699,13
1982.019178,14.1
1982.027397,15.8
1982.038356,13
1982.043836,15.8
1982.065753,17
1982.073973,14.6
1982.093151,14.8
1982.10137,13.6
1982.106849,22.7
1982.112329,13.5
1982.120548,19.2
1982.126027,26.3
1982.131507,17
1982.147945,15.2
1982.153425,12.5
1982.161644,13.9
1982.172603,14
1982.180822,16.7
1982.191781,10
1982.221918,20.7
1982.230137,14.5
1982.252055,12.3
1982.257534,11.2
1982.271233,10.1
1982.287671,19.5
1982.290411,14.2
1982.293151,9.3
1982.29589,10.1
1982.29863,7.4
1982.30411,7.8
1982.315068,12.9
1982.326027,10
1982.334247,6.3
1982.358904,8.7
1982.386301,8.4
1982.394521,8.6
1982.408219,12.5
1982.438356,2.3
1982.446575,6.9
1982.449315,7.3
1982.454795,7.3
1982.457534,7.6
1982.468493,7.3
1982.471233,6.2
1982.476712,8.9
1982.479452,4
1982.482192,1.3
1982.520548,2.4
1982.536986,3.3
1982.545205,3.9
1982.553425,-0.8
1982.60274,3.8
1982.630137,4.3
1982.641096,6.6
1982.660274,14.2
1982.665753,7.6
1982.682192,8.2
1982.690411,5.8
1982.69589,8.5
1982.70137,3.6
1982.728767,6.3
1982.761644,4.7
1982.764384,5.8
1982.808219,10
1982.810959,10.6
1982.821918,13.9
1982.824658,9.2
1982.827397,9
1982.830137,13.2
1982.832877,7
1982.843836,12.5
1982.849315,17.7
1982.854795,11.3
1982.863014,10.3
1982.865753,9
1982.868493,11.1
1982.873973,18
1982.890411,12.6
1982.893151,10.3
1982.90137,15.8
1982.931507,13
1982.934247,12.2
1982.942466,13
1982.947945,12.6
1982.961644,15.8
1982.964384,13
1982.975342,10.8
1982.986301,13
1983.019178,12.8
1983.021918,16.2
1983.024658,15.5
1983.032877,9.1
1983.082192,14.3
1983.084932,14
1983.10137,16.2
1983.10411,20.3
1983.115068,16.8
1983.128767,21.5
1983.134247,13.6
1983.139726,14.2
1983.142466,15.7
1983.153425,16.9
1983.161644,20.1
1983.164384,19.9
1983.169863,20.5
1983.172603,22.1
1983.178082,15
1983.186301,16.2
1983.189041,14.1
1983.194521,21.1
1983.19726,15.9
1983.205479,13.2
1983.208219,12.5
1983.216438,15.5
1983.224658,15.1
1983.230137,10
1983.232877,11.4
1983.235616,12.6
1983.238356,10.7
1983.249315,12.5
1983.257534,11.1
1983.276712,15.5
1983.282192,11.7
1983.29589,7.5
1983.29863,8.8
1983.30137,8
1983.315068,10.5
1983.317808,12.6
1983.320548,13
1983.331507,12.5
1983.334247,13.5
1983.372603,6.7
1983.378082,4.9
1983.380822,7.4
1983.383562,8.3
1983.39726,11.9
1983.410959,7.5
1983.413699,9.3
1983.424658,7.6
1983.432877,9.6
1983.435616,7
1983.446575,6.8
1983.454795,9.5
1983.457534,4.7
1983.471233,11.6
1983.473973,6.6
1983.484932,3.3
1983.493151,4
1983.50411,9.5
1983.520548,8.3
1983.534247,8.4
1983.545205,5.4
1983.556164,5.3
1983.558904,6.6
1983.59726,6.5
1983.613699,7.6
1983.627397,8.3
1983.635616,5.2
1983.638356,10.3
1983.641096,11.1
1983.652055,6.4
1983.663014,11.2
1983.665753,10
1983.673973,10.9
1983.682192,10.4
1983.690411,10.6
1983.69589,9.2
1983.717808,12
1983.734247,7.6
1983.747945,9.6
1983.750685,9.3
1983.761644,7.6
1983.764384,6.9
1983.778082,9.1
1983.783562,13.2
1983.791781,11.8
1983.805479,10.3
1983.808219,7.5
1983.816438,12.9
1983.819178,11.7
1983.821918,14
1983.824658,12.3
1983.841096,12.6
1983.843836,11
1983.846575,8.2
1983.857534,10.9
1983.887671,10.8
1983.928767,12
1983.939726,13.8
1983.945205,12
1983.947945,16.5
1983.953425,11.2
1983.956164,13.9
1983.958904,15
1983.967123,13.3
1983.978082,16.7
1983.989041,13.9
1984.005479,17.1
1984.008219,17.1
1984.013699,11
1984.030137,12.5
1984.038356,18.6
1984.041096,18
1984.049315,11.9
1984.052055,12.2
1984.054795,14.8
1984.063014,10.5
1984.065753,13.8
