combined_data1,combined_data2
2004.88887,71138.7492385722
2004.888984,77253.2663003328
2004.889098,77340.779502806
2004.889555,66933.3237610039
2004.889669,59458.3178403242
2004.889897,52930.8706124631
2004.890011,50795
2004.890126,47474.4641032802
2004.89024,45387.152330033
2004.890582,45276.8570390678
2004.890811,38284.1260982288
2004.891267,31597
2004.891381,33643.6556044542
2004.891495,37522.8941603143
2004.891724,44282.8853347827
2004.891952,46397.1522299121
2004.89218,50711.8211323705
2004.892295,49087.5887543038
2004.892409,47360.9909058473
2004.892637,47312.6990259984
2004.892751,46389.854719599
2004.893094,40838.8006072861
2004.893208,39294.2846323815
2004.893322,37190.9867200458
2004.893436,37542.9262959261
2004.893779,22759.6921743584
2004.894235,26096
2004.894349,28981.9280384733
2004.894463,33023
2004.894578,37690.5144110885
2004.89492,52032.4168674926
2004.895148,70662
2004.895377,72310.8562854596
2004.895605,70801
2004.895719,69972.8127959347
2004.895833,67289.2818406283
2004.896062,55463.3240937735
2004.896176,49658.1331778494
2004.89629,45066.4971993558
2004.896518,37518.3266564391
2004.896975,85732.7072161868
2004.897203,109657.701043999
2004.897546,122664.462640075
2004.89766,120957.81983809
2004.897888,102011.78028786
2004.898002,93463.7023070212
2004.898231,84388.795132021
2004.898573,75475.1266410095
2004.89903,49963.177798291
2004.899258,43460.8238025103
2004.899372,43872
2004.899486,46920.2450208423
2004.899715,90777.8683952145
2004.899943,113912.899286329
2004.900057,119409.565215622
2004.900171,125058.789943813
2004.9004,119779.180293671
2004.900514,107937.658188249
2004.900628,96320.5037770286
2004.900856,84061.54042998
2004.90097,82382.836084646
2004.901084,78535.6436786175
2004.901313,77015.4762353587
2004.901427,72030.65105957
2004.901655,60855.2818305274
2004.901884,50997.3825420973
2004.901998,47565.9284036667
2004.902112,45270.1629059697
2004.90234,64916.4161658284
2004.902454,91055.5290636453
2004.902568,102021.362500691
2004.902797,102830.48257872
2004.903139,81473.4159360977
2004.903253,75003.650188884
2004.903368,67270.8986622572
2004.903824,53785.1515013139
2004.903938,51820.4891250403
2004.904281,38464.3886517659
2004.904395,34335
2004.904509,31852.5822210321
2004.904737,27960.3474986878
2004.904966,32337.9821557954
2004.90508,44782.6565744768
2004.905194,65160
2004.905308,74067.2744526768
2004.905422,80437.905296105
2004.905537,80415.565453178
2004.905651,83413.1317238492
2004.905765,84793.3985935452
2004.905879,81314.9954023768
2004.906107,66554.9830548406
2004.906221,61711.488546166
2004.906336,58145.5475866939
2004.90645,53628.7497932486
2004.906564,51279.1960376266
2004.906678,48923.3570543946
2004.906792,46283.6000648522
2004.907249,30673.1969292148
2004.907363,28032.5060310073
2004.907477,26527.6368730972
2004.907591,26178.8315246006
2004.907705,30784.684111386
2004.90782,44053.7802990782
2004.907934,62682.2854411126
2004.908619,74980.7807556714
2004.908733,63487.751703331
2004.908961,51138.512063503
2004.909304,46928.1518962182
2004.909646,42590.0822050454
2004.90976,39372.4462119828
2004.909989,34004.9086618342
2004.910445,25728.566160005
2004.910559,27591.3448208372
2004.910674,31454.1463155686
2004.910788,36188.7148482658
2004.910902,39750.0587314782
2004.911016,42938.6196861177
2004.911244,48890.7993028386
2004.911473,49557.579692022
2004.911701,46392.5413701328
2004.911815,48494.677793765
2004.912043,45613.6505093757
2004.912272,45939.2385234497
2004.912386,48667.9796209393
2004.9125,44866.785578402
2004.912614,40357.2369139679
2004.912728,37522.5862424157
2004.912842,33910.1795566655
2004.912957,28542.9957208051
2004.913185,24802.0857573406
2004.913527,32984.0914920756
2004.913756,44756.288301804
2004.914098,55035.1506740261
2004.914212,55287.9873872341
2004.914326,54602.4342668454
2004.914441,54493.0917923127
2004.914897,51428.5089083184
2004.915011,47533.7385430277
2004.915126,42460.4342061106
2004.915354,35589.8783735422
2004.915582,29972.2022733698
2004.915811,28501.0947889669
2004.916039,49461.160693533
2004.916153,67889.3997374153
2004.916267,75509
2004.916381,80523
2004.916495,81577.8378680338
2004.91661,85024.3319735088
2004.916724,86160.1647986768
2004.916838,82759.85667602
2004.917066,64397.9295909279
2004.91718,60648
2004.917295,58350.2697610502
2004.917523,52054.2863912467
2004.917637,48751.0658898842
2004.917865,42130.7319690349
2004.918094,33105.4644836537
2004.918322,27277.184957827
2004.918436,27026.3262996057
2004.91855,26245.195499474
2004.918664,32329.16750483
2004.918893,68732.6972791
2004.919007,75319
2004.919121,92221.7131256154
2004.919349,104006.470641902
2004.919463,107104.349042821
2004.91992,74798.9102998385
2004.920034,69512.5550769262
2004.920148,68124.3779627476
2004.920377,67082.9534241371
2004.920491,63436.4516368604
2004.920605,58264.328445136
2004.920833,43793.8845734479
2004.920947,39106.2987018868
2004.921062,35678.5695066546
2004.921176,35011.9070929993
2004.921404,32005.155947049
2004.921632,80516.6675387726
2004.921861,96246.3975031108
2004.922089,101150.524100413
2004.922546,77682.5726347496
2004.92266,75995.0819787323
2004.923002,63147.4784457462
2004.923345,55802.4013737045
2004.923459,49038
2004.923687,41262.3503031257
2004.923916,36738.1835356218
2004.924144,41135.7246922886
2004.924372,82467.5743011861
