combined_data1,combined_data2
1977.016438,281
1977.019178,251
1977.035616,281
1977.063014,187
1977.071233,311
1977.073973,270
1977.079452,220
1977.082192,219
1977.087671,271
1977.10137,222
1977.109589,265
1977.139726,202
1977.147945,314
1977.158904,236
1977.169863,300
1977.178082,204
1977.205479,319
1977.208219,311
1977.213699,266
1977.227397,301
1977.230137,289
1977.232877,258
1977.238356,237
1977.241096,311
1977.287671,319
1977.290411,244
1977.30411,300
1977.306849,285
1977.320548,304
1977.339726,304
1977.342466,319
1977.358904,316
1977.367123,199
1977.372603,320
1977.383562,309
1977.4,302
1977.40274,312
1977.427397,227
1977.435616,281
1977.446575,233
1977.452055,305
1977.454795,269
1977.463014,205
1977.468493,264
1977.471233,295
1977.479452,219
1977.490411,294
1977.493151,307
1977.50137,239
1977.506849,263
1977.526027,260
1977.536986,306
1977.539726,220
1977.547945,304
1977.553425,250
1977.558904,219
1977.564384,269
1977.575342,291
1977.6,205
1977.60274,256
1977.641096,226
1977.654795,210
1977.709589,292
1977.726027,292
1977.756164,259
1977.775342,274
1977.79726,292
1977.8,286
1977.821918,267
1977.830137,202
1977.832877,252
1977.838356,291
1977.846575,202
1977.852055,276
1977.868493,192
1977.882192,286
1977.884932,220
1977.928767,227
1977.934247,259
1977.956164,265
1977.961644,195
1977.964384,184
1977.967123,236
1977.991781,268
1977.994521,241
1978.010959,277
1978.019178,191
1978.054795,261
1978.063014,250
1978.071233,270
1978.073973,267
1978.079452,193
1978.082192,243
1978.090411,289
1978.126027,285
1978.131507,286
1978.142466,292
1978.156164,206
1978.164384,288
1978.175342,207
1978.2,301
1978.208219,312
1978.216438,281
1978.219178,303
1978.232877,207
1978.235616,265
1978.246575,291
1978.271233,247
1978.273973,310
1978.284932,266
1978.290411,189
1978.29863,315
1978.306849,262
1978.315068,269
1978.328767,211
1978.334247,303
1978.367123,260
1978.369863,312
1978.391781,287
1978.413699,338
1978.421918,225
1978.430137,279
1978.487671,287
1978.493151,307
1978.506849,284
1978.509589,290
1978.523288,279
1978.531507,275
1978.553425,252
1978.556164,247
1978.569863,283
1978.591781,239
1978.594521,236
1978.619178,283
1978.635616,210
1978.646575,255
1978.654795,178
1978.673973,213
1978.676712,200
1978.693151,202
1978.69589,246
1978.70137,256
1978.715068,255
1978.720548,271
1978.761644,282
1978.769863,175
1978.786301,187
1978.80274,278
1978.819178,220
1978.827397,201
1978.830137,212
1978.832877,247
1978.849315,221
1978.852055,288
1978.863014,220
1978.865753,189
1978.882192,216
1978.887671,262
1978.90137,203
1978.912329,249
1978.936986,273
1978.978082,208
1978.980822,190
1979.010959,242
1979.016438,192
1979.038356,208
1979.041096,261
1979.087671,287
1979.09589,214
1979.10411,275
1979.112329,207
1979.117808,221
1979.126027,279
1979.145205,322
1979.164384,322
1979.169863,248
1979.175342,288
1979.186301,284
1979.216438,307
1979.227397,255
1979.238356,302
1979.276712,326
1979.284932,285
1979.290411,255
1979.312329,317
1979.334247,301
1979.372603,306
1979.405479,302
1979.421918,224
1979.435616,307
1979.441096,219
1979.449315,306
1979.463014,289
1979.476712,224
1979.479452,217
1979.487671,298
1979.531507,324
1979.534247,228
1979.545205,298
1979.550685,266
1979.564384,294
1979.572603,234
1979.578082,279
1979.624658,290
1979.632877,223
1979.635616,279
1979.657534,297
1979.673973,226
1979.676712,280
1979.679452,301
1979.712329,281
1979.731507,309
1979.764384,246
1979.827397,270
1979.854795,316
1979.876712,245
1979.884932,263
1979.887671,288
1979.890411,248
1979.89863,199
1979.906849,285
1979.931507,276
1979.945205,273
1979.969863,276
1979.978082,189
1979.989041,285
1980.016438,216
1980.019178,225
1980.041096,264
1980.054795,201
1980.065753,243
1980.082192,251
1980.123288,300
1980.128767,220
1980.134247,262
1980.145205,255
1980.150685,215
1980.164384,255
1980.167123,250
1980.183562,282
1980.194521,289
1980.208219,220
1980.213699,297
1980.216438,311
1980.219178,275
1980.230137,298
1980.260274,251
1980.263014,225
1980.273973,294
1980.276712,326
1980.29589,296
1980.312329,276
1980.323288,232
1980.334247,304
1980.345205,293
1980.358904,245
1980.364384,297
1980.367123,314
1980.375342,277
1980.380822,233
1980.391781,326
1980.4,233
1980.416438,232
1980.421918,312
1980.432877,291
1980.441096,281
1980.452055,246
1980.468493,288
1980.482192,251
1980.484932,301
1980.490411,339
1980.493151,247
1980.50137,250
1980.520548,325
1980.534247,194
1980.542466,258
1980.553425,230
1980.561644,280
1980.580822,299
1980.583562,262
1980.60274,264
1980.608219,230
1980.616438,328
1980.621918,294
1980.635616,302
1980.671233,224
1980.690411,248
1980.69589,270
1980.715068,350
1980.745205,222
1980.750685,366
1980.756164,312
1980.772603,268
1980.791781,288
1980.8,221
1980.80274,219
1980.821918,231
1980.824658,260
1980.827397,282
1980.871233,281
1980.887671,279
1980.912329,257
1980.923288,257
1980.928767,252
1980.936986,173
1980.950685,254
1980.961644,286
1980.978082,263
1980.986301,168
1980.994521,213
1981.008219,196
1981.019178,279
1981.032877,265
1981.041096,251
1981.043836,247
1981.073973,275
1981.09589,276
1981.106849,203
1981.112329,290
1981.120548,253
1981.153425,299
1981.210959,336
1981.213699,295
1981.273973,324
